model,interval_type,1 year estimate,1 year lower_95,1 year upper_95,2 year estimate,2 year lower_95,2 year upper_95,3 year estimate,3 year lower_95,3 year upper_95,4 year estimate,4 year lower_95,4 year upper_95,5 year estimate,5 year lower_95,5 year upper_95,6 year estimate,6 year lower_95,6 year upper_95,7 year estimate,7 year lower_95,7 year upper_95,8 year estimate,8 year lower_95,8 year upper_95,9 year estimate,9 year lower_95,9 year upper_95,10 year estimate,10 year lower_95,10 year upper_95
KM benchmark,95% CI,0.169858,0.052361,0.272787,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182,0.298819,0.132606,0.433182
Frequentist no-cure lognormal,95% CI,0.222887,0.141862,0.397764,0.311603,0.207852,0.536714,0.36968,0.251623,0.619457,0.412871,0.281067,0.679243,0.447146,0.307078,0.719026,0.475459,0.326807,0.752479,0.4995,0.345239,0.780352,0.520331,0.359768,0.801922,0.538661,0.372803,0.819514,0.554989,0.383231,0.833765
Frequentist mixture cure (overall),95% CI,0.241488,0.12018,0.349545,0.303494,0.141194,0.421442,0.333188,0.148385,0.453017,0.350729,0.151223,0.47733,0.362299,0.154008,0.491722,0.370477,0.154467,0.504729,0.376542,0.155057,0.515568,0.381204,0.155814,0.523394,0.384886,0.1564,0.529668,0.38786,0.156726,0.534464
Frequentist mixture cure (susceptible only),95% CI,0.643704,0.339055,0.957599,0.786935,0.449036,0.989376,0.851754,0.51029,0.996222,0.888614,0.554254,0.99838,0.912228,0.58756,0.999198,0.928529,0.613482,0.99956,0.940382,0.635352,0.999746,0.949336,0.655487,0.999842,0.956302,0.671891,0.9999,0.961852,0.685505,0.999941
Bayesian transition-only cure (overall),95% CrI,0.223898,0.130389,0.35699,0.289526,0.156445,0.436714,0.325737,0.170982,0.494518,0.349679,0.183428,0.5318,0.367047,0.190662,0.554831,0.38039,0.195454,0.576898,0.39105,0.198863,0.597268,0.399816,0.203262,0.61069,0.407184,0.205908,0.62521,0.413486,0.207999,0.638672
Bayesian transition-only cure (susceptible only),95% CrI,0.491198,0.223044,0.809953,0.620028,0.31451,0.921425,0.687971,0.371509,0.955888,0.73164,0.416323,0.973081,0.762676,0.452627,0.982146,0.786143,0.482607,0.987453,0.804653,0.505514,0.990941,0.819711,0.523412,0.993092,0.832252,0.540918,0.9946,0.842893,0.556513,0.995725
