dataset_variant,dataset_group,model_family,model_scope,probability_type,horizon_year,estimate_probability,interval_type,uncertainty_sd,interval_lower_95,interval_median_50,interval_upper_95
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,1,0.113153,95% CrI,0.016289,0.083193,0.113352,0.144323
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,2,0.168772,95% CrI,0.021187,0.129735,0.169623,0.211782
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,3,0.20766,95% CrI,0.024989,0.162263,0.208009,0.257197
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,4,0.237792,95% CrI,0.028159,0.185948,0.23787,0.292197
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,5,0.262428,95% CrI,0.030884000000000002,0.205719,0.262514,0.320054
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,6,0.28326,95% CrI,0.033276,0.221848,0.283487,0.344622
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,7,0.301293,95% CrI,0.035406,0.235772,0.302382,0.36723
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,8,0.317174,95% CrI,0.037327,0.24769,0.318411,0.387625
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,9,0.331349,95% CrI,0.039075,0.258054,0.332149,0.405025
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,risk,10,0.344135,95% CrI,0.04068,0.266554,0.34439,0.420344
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,1,0.886847,95% CrI,0.016289,0.855677,0.886648,0.916807
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,2,0.831228,95% CrI,0.021187,0.788218,0.830377,0.870265
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,3,0.79234,95% CrI,0.024989,0.742803,0.791991,0.837737
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,4,0.762208,95% CrI,0.028159,0.707803,0.76213,0.814052
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,5,0.737572,95% CrI,0.030884000000000002,0.679946,0.737486,0.794281
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,6,0.71674,95% CrI,0.033276,0.655378,0.716513,0.778152
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,7,0.698707,95% CrI,0.035406,0.63277,0.697618,0.764228
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,8,0.682826,95% CrI,0.037327,0.612375,0.681589,0.75231
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,9,0.668651,95% CrI,0.039075,0.594975,0.667851,0.741946
merged_site_adjusted,Merged,Bayesian transition-only cure,overall,survival,10,0.655865,95% CrI,0.04068,0.579656,0.65561,0.733446
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,1,0.149791,95% CrI,0.041243,0.093032,0.142474,0.260243
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,2,0.222491,95% CrI,0.056955,0.142271,0.21177,0.374904
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,3,0.272945,95% CrI,0.066679,0.180349,0.259697,0.449663
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,4,0.311833,95% CrI,0.073449,0.209124,0.299446,0.50411
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,5,0.343496,95% CrI,0.078467,0.231614,0.330525,0.546872
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,6,0.37018,95% CrI,0.082336,0.251472,0.358428,0.581527
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,7,0.393212,95% CrI,0.085401,0.268456,0.380648,0.610415
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,8,0.413445,95% CrI,0.087877,0.282623,0.399394,0.635007
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,9,0.431463,95% CrI,0.089908,0.295088,0.417784,0.656284
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,risk,10,0.447684,95% CrI,0.091592,0.306592,0.435613,0.674934
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,1,0.850209,95% CrI,0.041243,0.739757,0.857526,0.906968
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,2,0.777509,95% CrI,0.056955,0.625096,0.78823,0.857729
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,3,0.727055,95% CrI,0.066679,0.550337,0.740303,0.819651
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,4,0.688167,95% CrI,0.073449,0.49589,0.700554,0.790876
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,5,0.656504,95% CrI,0.078467,0.453128,0.669475,0.768386
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,6,0.62982,95% CrI,0.082336,0.418473,0.641572,0.748528
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,7,0.606788,95% CrI,0.085401,0.389585,0.619352,0.731544
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,8,0.586555,95% CrI,0.087877,0.364993,0.600606,0.717377
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,9,0.568537,95% CrI,0.089908,0.343716,0.582216,0.704912
merged_site_adjusted,Merged,Bayesian transition-only cure,susceptible,survival,10,0.552316,95% CrI,0.091592,0.325066,0.564387,0.693408
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,1,0.112441,95% CI,0.030032,0.031752,0.080906,0.136923
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,2,0.167569,95% CI,0.043068,0.046451,0.120741,0.197607
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,3,0.206364,95% CI,0.05236,0.056508,0.148062,0.241319
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,4,0.236609,95% CI,0.059671,0.062993,0.169118,0.275173
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,5,0.261473,95% CI,0.065719,0.068267,0.186035,0.303637
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,6,0.2826,95% CI,0.070884,0.072955,0.200328,0.327957
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,7,0.300968,95% CI,0.075392,0.076893,0.212377,0.348008
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,8,0.317208,95% CI,0.07939,0.079816,0.223559,0.366196
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,9,0.331754,95% CI,0.082981,0.082508,0.233919,0.381698
merged_site_adjusted,Merged,Frequentist mixture cure,overall,risk,10,0.344918,95% CI,0.086238,0.084875,0.242754,0.397181
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,1,0.887559,95% CI,0.030032,0.863077,0.919094,0.968248
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,2,0.832431,95% CI,0.043068,0.802393,0.879259,0.953549
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,3,0.793636,95% CI,0.05236,0.758681,0.851938,0.943492
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,4,0.763391,95% CI,0.059671,0.724827,0.830882,0.937007
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,5,0.738527,95% CI,0.065719,0.696363,0.813965,0.931733
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,6,0.7174,95% CI,0.070884,0.672043,0.799672,0.927045
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,7,0.699032,95% CI,0.075392,0.651992,0.787623,0.923107
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,8,0.682792,95% CI,0.07939,0.633804,0.776441,0.920184
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,9,0.668246,95% CI,0.082981,0.618302,0.766081,0.917492
merged_site_adjusted,Merged,Frequentist mixture cure,overall,survival,10,0.655082,95% CI,0.086238,0.602819,0.757246,0.915125
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,1,0.146071,95% CI,0.045572,0.08953,0.151656,0.267488
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,2,0.214878,95% CI,0.059423,0.136979,0.219956,0.370955
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,3,0.262806,95% CI,0.067884,0.170475,0.266921,0.435845
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,4,0.299944,95% CI,0.073784,0.196348,0.303523,0.484243
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,5,0.330344,95% CI,0.078183,0.217985,0.333652,0.52309
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,6,0.356093,95% CI,0.081598,0.237111,0.358904,0.555045
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,7,0.37842,95% CI,0.084325,0.25345,0.381013,0.581239
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,8,0.398117,95% CI,0.086546,0.268314,0.400102,0.603857
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,9,0.415728,95% CI,0.088383,0.281877,0.416962,0.622964
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,risk,10,0.431639,95% CI,0.08992,0.294035,0.432231,0.64195
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,1,0.853929,95% CI,0.045572,0.732512,0.848344,0.91047
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,2,0.785122,95% CI,0.059423,0.629045,0.780044,0.863021
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,3,0.737194,95% CI,0.067884,0.564155,0.733079,0.829525
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,4,0.700056,95% CI,0.073784,0.515757,0.696477,0.803652
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,5,0.669656,95% CI,0.078183,0.47691,0.666348,0.782015
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,6,0.643907,95% CI,0.081598,0.444955,0.641096,0.762889
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,7,0.62158,95% CI,0.084325,0.418761,0.618987,0.74655
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,8,0.601883,95% CI,0.086546,0.396143,0.599898,0.731686
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,9,0.584272,95% CI,0.088383,0.377036,0.583038,0.718123
merged_site_adjusted,Merged,Frequentist mixture cure,susceptible,survival,10,0.568361,95% CI,0.08992,0.35805,0.567769,0.705965
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,1,0.111816,95% CI,0.01741,0.084156,0.115199,0.153313
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,2,0.168037,95% CI,0.022491,0.132904,0.171515,0.221378
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,3,0.208226,95% CI,0.026479,0.167295,0.211495,0.271664
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,4,0.239931,95% CI,0.029809,0.194132,0.24306,0.3111
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,5,0.266249,95% CI,0.032654,0.215895,0.269252,0.343791
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,6,0.288801,95% CI,0.035123,0.235089,0.2914,0.371605
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,7,0.308551,95% CI,0.037289,0.251529,0.31073,0.396602
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,8,0.326129,95% CI,0.039209,0.265441,0.328249,0.417635
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,9,0.341969,95% CI,0.040925,0.278332,0.343944,0.436982
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,risk,10,0.356383,95% CI,0.042468,0.290025,0.358047,0.454659
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,1,0.888184,95% CI,0.01741,0.846687,0.884801,0.915844
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,2,0.831963,95% CI,0.022491,0.778622,0.828485,0.867096
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,3,0.791774,95% CI,0.026479,0.728336,0.788505,0.832705
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,4,0.760069,95% CI,0.029809,0.6889,0.75694,0.805868
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,5,0.733751,95% CI,0.032654,0.656209,0.730748,0.784105
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,6,0.711199,95% CI,0.035123,0.628395,0.7086,0.764911
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,7,0.691449,95% CI,0.037289,0.603398,0.68927,0.748471
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,8,0.673871,95% CI,0.039209,0.582365,0.671751,0.734559
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,9,0.658031,95% CI,0.040925,0.563018,0.656056,0.721668
merged_site_adjusted,Merged,Frequentist no-cure lognormal,overall,survival,10,0.643617,95% CI,0.042468,0.545341,0.641953,0.709975
merged_site_adjusted,Merged,KM benchmark,overall,risk,1,0.09152,95% CI,NA,0.054164,NA,0.127401
merged_site_adjusted,Merged,KM benchmark,overall,risk,2,0.153427,95% CI,NA,0.103911,NA,0.200208
merged_site_adjusted,Merged,KM benchmark,overall,risk,3,0.198796,95% CI,NA,0.140715,NA,0.252951
merged_site_adjusted,Merged,KM benchmark,overall,risk,4,0.212736,95% CI,NA,0.15219,NA,0.268959
merged_site_adjusted,Merged,KM benchmark,overall,risk,5,0.239134,95% CI,NA,0.172764,NA,0.300179
merged_site_adjusted,Merged,KM benchmark,overall,risk,6,0.274226,95% CI,NA,0.192306,NA,0.347837
merged_site_adjusted,Merged,KM benchmark,overall,risk,7,0.274226,95% CI,NA,0.192306,NA,0.347837
merged_site_adjusted,Merged,KM benchmark,overall,risk,8,0.350623,95% CI,NA,0.216562,NA,0.461744
merged_site_adjusted,Merged,KM benchmark,overall,risk,9,0.350623,95% CI,NA,0.216562,NA,0.461744
merged_site_adjusted,Merged,KM benchmark,overall,risk,10,0.350623,95% CI,NA,0.216562,NA,0.461744
merged_site_adjusted,Merged,KM benchmark,overall,survival,1,0.90848,95% CI,NA,0.872599,NA,0.945836
merged_site_adjusted,Merged,KM benchmark,overall,survival,2,0.846573,95% CI,NA,0.799792,NA,0.896089
merged_site_adjusted,Merged,KM benchmark,overall,survival,3,0.801204,95% CI,NA,0.747049,NA,0.859285
merged_site_adjusted,Merged,KM benchmark,overall,survival,4,0.787264,95% CI,NA,0.731041,NA,0.84781
merged_site_adjusted,Merged,KM benchmark,overall,survival,5,0.760866,95% CI,NA,0.699821,NA,0.827236
merged_site_adjusted,Merged,KM benchmark,overall,survival,6,0.725774,95% CI,NA,0.652163,NA,0.807694
merged_site_adjusted,Merged,KM benchmark,overall,survival,7,0.725774,95% CI,NA,0.652163,NA,0.807694
merged_site_adjusted,Merged,KM benchmark,overall,survival,8,0.649377,95% CI,NA,0.538256,NA,0.783438
merged_site_adjusted,Merged,KM benchmark,overall,survival,9,0.649377,95% CI,NA,0.538256,NA,0.783438
merged_site_adjusted,Merged,KM benchmark,overall,survival,10,0.649377,95% CI,NA,0.538256,NA,0.783438
