dataset_variant,dataset_group,probability_type,horizon_year,comparison,model_a,model_b,estimate_a,interval_type_a,uncertainty_sd_a,interval_lower_95_a,interval_median_50_a,interval_upper_95_a,estimate_b,interval_type_b,uncertainty_sd_b,interval_lower_95_b,interval_median_50_b,interval_upper_95_b,delta_interval_type,delta_probability,delta_uncertainty_sd,delta_interval_lower_95,delta_interval_median_50,delta_interval_upper_95,abs_delta_probability
PNU,PNU,risk,8,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.381204,95% CI,0.094332,0.155814,0.359697,0.523394,0.399816,95% CrI,0.106822,0.203262,0.397485,0.61069,95% uncertainty interval,0.018612,0.148206,-0.254237,0.038404,0.326848,0.018612
PNU,PNU,risk,8,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.520331,95% CI,0.11501,0.359768,0.517701,0.801922,0.399816,95% CrI,0.106822,0.203262,0.397485,0.61069,95% uncertainty interval,-0.120515,0.156751,-0.4106,-0.121058,0.198306,0.120515
PNU,PNU,risk,8,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.399816,95% CrI,0.106822,0.203262,0.397485,0.61069,95% uncertainty interval,0.100997,0.134614,-0.169141,0.095135,0.35895,0.100997
PNU,PNU,risk,8,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.520331,95% CI,0.11501,0.359768,0.517701,0.801922,0.381204,95% CI,0.094332,0.155814,0.359697,0.523394,95% CI,-0.139127,0.155921,-0.445703,-0.155278,0.157844,0.139127
PNU,PNU,risk,8,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.381204,95% CI,0.094332,0.155814,0.359697,0.523394,95% CI,0.082385,0.131271,-0.203069,0.058654,0.316234,0.082385
PNU,PNU,risk,8,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.298819,95% CI,NA,0.132606,NA,0.433182,0.520331,95% CI,0.11501,0.359768,0.517701,0.801922,95% CI,0.221512,0.14444100000000001,-0.06537,0.214614,0.481198,0.221512
PNU,PNU,risk,9,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.384886,95% CI,0.096226,0.1564,0.364866,0.529668,0.407184,95% CrI,0.110381,0.205908,0.402998,0.62521,95% uncertainty interval,0.022298,0.149882,-0.26374,0.035885,0.324267,0.022298
PNU,PNU,risk,9,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.538661,95% CI,0.116477,0.372803,0.534782,0.819514,0.407184,95% CrI,0.110381,0.205908,0.402998,0.62521,95% uncertainty interval,-0.131477,0.164437,-0.439795,-0.129409,0.199321,0.131477
PNU,PNU,risk,9,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.407184,95% CrI,0.110381,0.205908,0.402998,0.62521,95% uncertainty interval,0.108365,0.13846,-0.173567,0.098035,0.370361,0.108365
PNU,PNU,risk,9,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.538661,95% CI,0.116477,0.372803,0.534782,0.819514,0.384886,95% CI,0.096226,0.1564,0.364866,0.529668,95% CI,-0.153775,0.161362,-0.46087,-0.165676,0.167903,0.153775
PNU,PNU,risk,9,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.384886,95% CI,0.096226,0.1564,0.364866,0.529668,95% CI,0.086067,0.132456,-0.186792,0.061849,0.340797,0.086067
PNU,PNU,risk,9,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.298819,95% CI,NA,0.132606,NA,0.433182,0.538661,95% CI,0.116477,0.372803,0.534782,0.819514,95% CI,0.239842,0.147401,-0.083542,0.228102,0.498931,0.239842
PNU,PNU,risk,10,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.38786,95% CI,0.097881,0.156726,0.368688,0.534464,0.413486,95% CrI,0.113555,0.207999,0.407291,0.638672,95% uncertainty interval,0.025626,0.154409,-0.268443,0.033485,0.33553,0.025626
PNU,PNU,risk,10,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.554989,95% CI,0.117587,0.383231,0.550419,0.833765,0.413486,95% CrI,0.113555,0.207999,0.407291,0.638672,95% uncertainty interval,-0.141503,0.168571,-0.445829,-0.134908,0.208278,0.141503
PNU,PNU,risk,10,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.413486,95% CrI,0.113555,0.207999,0.407291,0.638672,95% uncertainty interval,0.114667,0.141928,-0.169928,0.102323,0.384395,0.114667
PNU,PNU,risk,10,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.554989,95% CI,0.117587,0.383231,0.550419,0.833765,0.38786,95% CI,0.097881,0.156726,0.368688,0.534464,95% CI,-0.167129,0.158175,-0.464152,-0.175994,0.14126,0.167129
PNU,PNU,risk,10,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.298819,95% CI,NA,0.132606,NA,0.433182,0.38786,95% CI,0.097881,0.156726,0.368688,0.534464,95% CI,0.089041,0.134623,-0.193594,0.072413,0.331102,0.089041
PNU,PNU,risk,10,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.298819,95% CI,NA,0.132606,NA,0.433182,0.554989,95% CI,0.117587,0.383231,0.550419,0.833765,95% CI,0.25617,0.152946,-0.069709,0.246223,0.519092,0.25617
PNU,PNU,survival,1,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.758512,95% CI,0.058274,0.650455,0.777808,0.87982,0.776102,95% CrI,0.05605,0.64301,0.780093,0.869611,95% uncertainty interval,0.01759,0.083392,-0.159953,0.002465,0.16459,0.01759
PNU,PNU,survival,1,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.777113,95% CI,0.064659,0.602236,0.763289,0.858138,0.776102,95% CrI,0.05605,0.64301,0.780093,0.869611,95% uncertainty interval,-0.001011,0.086942,-0.14801,0.016524,0.192011,0.001011
PNU,PNU,survival,1,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.830142,95% CI,NA,0.727213,NA,0.947639,0.776102,95% CrI,0.05605,0.64301,0.780093,0.869611,95% uncertainty interval,-0.05404,0.091011,-0.214973,-0.050728,0.147262,0.05404
PNU,PNU,survival,1,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.777113,95% CI,0.064659,0.602236,0.763289,0.858138,0.758512,95% CI,0.058274,0.650455,0.777808,0.87982,95% CI,-0.018601,0.089048,-0.156171,0.014631,0.195587,0.018601
PNU,PNU,survival,1,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.830142,95% CI,NA,0.727213,NA,0.947639,0.758512,95% CI,0.058274,0.650455,0.777808,0.87982,95% CI,-0.07163,0.094777,-0.224813,-0.051934,0.150104,0.07163
PNU,PNU,survival,1,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.830142,95% CI,NA,0.727213,NA,0.947639,0.777113,95% CI,0.064659,0.602236,0.763289,0.858138,95% CI,-0.053029,0.096262,-0.244368,-0.06725,0.138992,0.053029
