dataset_variant,dataset_group,probability_type,horizon_year,comparison,model_a,model_b,estimate_a,interval_type_a,uncertainty_sd_a,interval_lower_95_a,interval_median_50_a,interval_upper_95_a,estimate_b,interval_type_b,uncertainty_sd_b,interval_lower_95_b,interval_median_50_b,interval_upper_95_b,delta_interval_type,delta_probability,delta_uncertainty_sd,delta_interval_lower_95,delta_interval_median_50,delta_interval_upper_95,abs_delta_probability
PNU,PNU,survival,7,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.60895,95% CrI,0.102792,0.402732,0.612918,0.801137,95% uncertainty interval,-0.092231,0.134489,-0.343275,-0.087871,0.175256,0.092231
PNU,PNU,survival,7,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.5005,95% CI,0.113065,0.219648,0.502318,0.654761,0.623458,95% CI,0.092133,0.484432,0.646043,0.844943,95% CI,0.122958,0.152102,-0.16253,0.137276,0.417618,0.122958
PNU,PNU,survival,7,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.623458,95% CI,0.092133,0.484432,0.646043,0.844943,95% CI,-0.077723,0.128277,-0.319911,-0.05234,0.189021,0.077723
PNU,PNU,survival,7,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.5005,95% CI,0.113065,0.219648,0.502318,0.654761,95% CI,-0.200681,0.141949,-0.464465,-0.19462,0.088572,0.200681
PNU,PNU,survival,8,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.618796,95% CI,0.094332,0.476606,0.640303,0.844186,0.600184,95% CrI,0.106822,0.38931,0.602515,0.796738,95% uncertainty interval,-0.018612,0.148042,-0.312995,-0.035565,0.259276,0.018612
PNU,PNU,survival,8,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.479669,95% CI,0.11501,0.198078,0.482299,0.640232,0.600184,95% CrI,0.106822,0.38931,0.602515,0.796738,95% uncertainty interval,0.120515,0.160739,-0.206084,0.11852,0.418519,0.120515
PNU,PNU,survival,8,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.600184,95% CrI,0.106822,0.38931,0.602515,0.796738,95% uncertainty interval,-0.100997,0.136651,-0.364092,-0.092463,0.173577,0.100997
PNU,PNU,survival,8,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.479669,95% CI,0.11501,0.198078,0.482299,0.640232,0.618796,95% CI,0.094332,0.476606,0.640303,0.844186,95% CI,0.139127,0.156907,-0.165526,0.153918,0.444832,0.139127
PNU,PNU,survival,8,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.618796,95% CI,0.094332,0.476606,0.640303,0.844186,95% CI,-0.082385,0.135301,-0.334556,-0.059121,0.206228,0.082385
PNU,PNU,survival,8,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.479669,95% CI,0.11501,0.198078,0.482299,0.640232,95% CI,-0.221512,0.14593,-0.483067,-0.21072,0.086174,0.221512
PNU,PNU,survival,9,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.615114,95% CI,0.096226,0.470332,0.635134,0.8436,0.592816,95% CrI,0.110381,0.37479,0.597002,0.794092,95% uncertainty interval,-0.022298,0.151386,-0.329379,-0.038791,0.256801,0.022298
PNU,PNU,survival,9,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.461339,95% CI,0.116477,0.180486,0.465218,0.627197,0.592816,95% CrI,0.110381,0.37479,0.597002,0.794092,95% uncertainty interval,0.131477,0.162631,-0.197672,0.128032,0.4338,0.131477
