dataset,dataset_label,plot_dataset_label,model_id,prior_branch,site_adjustment_flag,risk_scale,time_horizon_year,susceptible_fraction,susceptible_fraction_sd,susceptible_fraction_q025,susceptible_fraction_q50,susceptible_fraction_q975,cure_fraction,cure_fraction_sd,cure_fraction_q025,cure_fraction_q50,cure_fraction_q975,overall_survival_prob,overall_survival_prob_sd,overall_survival_prob_q025,overall_survival_prob_q50,overall_survival_prob_q975,overall_risk_prob,overall_risk_prob_sd,overall_risk_prob_q025,overall_risk_prob_q50,overall_risk_prob_q975,susceptible_only_survival_prob,susceptible_only_survival_prob_sd,susceptible_only_survival_prob_q025,susceptible_only_survival_prob_q50,susceptible_only_survival_prob_q975,susceptible_only_risk_prob,susceptible_only_risk_prob_sd,susceptible_only_risk_prob_q025,susceptible_only_risk_prob_q50,susceptible_only_risk_prob_q975,n_subjects,horizon_year
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,1,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.781484424067385,0.05338299469757838,0.6766669001290799,0.7830369809828011,0.8778020746967705,0.21851557593261497,0.05338299469757838,0.12219792530322963,0.216963019017199,0.32333309987092007,0.5071256368994392,0.16887943091812935,0.15501933978871293,0.5302239835374508,0.7792687555285539,0.49287436310056076,0.16887943091812935,0.22073124447144615,0.4697760164625493,0.844980660211287,54,1
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,2,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.7164824392712127,0.0684481312472368,0.5781588575536103,0.7179652280877106,0.8446052328387144,0.2835175607287873,0.0684481312472368,0.15539476716128564,0.2820347719122895,0.4218411424463898,0.3774884363286136,0.17222149520294375,0.06491221208779134,0.3926286170039477,0.6930543584356452,0.6225115636713864,0.17222149520294378,0.3069456415643549,0.6073713829960525,0.9350877879122087,54,2
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,3,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6805555732022861,0.07931589586569586,0.519399479370013,0.6827107012214632,0.8283016110241821,0.31944442679771395,0.07931589586569583,0.17169838897581813,0.3172892987785369,0.48060052062998715,0.3091155915579232,0.16588708016157874,0.03749869866710914,0.3095774979249567,0.6326835614329751,0.6908844084420769,0.16588708016157874,0.367316438567025,0.6904225020750434,0.9625013013328909,54,3
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,4,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6567931584760914,0.08775709495991414,0.4699060881453278,0.6602000233433847,0.8210101841636455,0.34320684152390857,0.08775709495991414,0.17898981583635476,0.3397999766566154,0.5300939118546724,0.2651833086299155,0.1584454603044018,0.02365600838530489,0.2579942348094923,0.5867169423392224,0.7348166913700844,0.1584454603044018,0.41328305766077766,0.7420057651905076,0.9763439916146951,54,4
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,5,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6395605590711486,0.09457530710637449,0.44200181826400614,0.6415979242543626,0.8174188209907104,0.3604394409288514,0.0945753071063745,0.18258117900928966,0.3584020757456375,0.5579981817359938,0.2339767534952761,0.1513677166905321,0.01583607711567684,0.21728145993624476,0.5506493032095447,0.7660232465047239,0.1513677166905321,0.44935069679045525,0.7827185400637553,0.9841639228843231,54,5
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,6,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6263295351552924,0.10023916992980475,0.4207730840928927,0.6302878910207497,0.81491441500869,0.37367046484470756,0.10023916992980475,0.18508558499131006,0.36971210897925033,0.5792269159071073,0.21039674027049643,0.1449310951461247,0.01154120451948293,0.18841601758707566,0.5244333762301133,0.7896032597295035,0.14493109514612468,0.47556662376988673,0.8115839824129244,0.9884587954805171,54,6
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,7,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6157652733328747,0.10504612274876587,0.40025763171319906,0.6185470581675598,0.8124309365252704,0.3842347266671254,0.10504612274876585,0.1875690634747296,0.3814529418324401,0.599742368286801,0.19181126281404284,0.1391372570171897,0.008739241745334001,0.16774134878968214,0.4994732089072743,0.8081887371859572,0.1391372570171897,0.5005267910927257,0.8322586512103178,0.991260758254666,54,7
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,8,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.6070850476014177,0.10919557783191547,0.38504330472169257,0.6105553426325709,0.8094530309307779,0.39291495239858226,0.10919557783191547,0.1905469690692222,0.38944465736742917,0.6149566952783074,0.17670435481751198,0.13392143155472636,0.006805473015320299,0.1493946420747458,0.47765217032850193,0.823295645182488,0.13392143155472636,0.5223478296714981,0.8506053579252543,0.9931945269846797,54,8
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,9,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.5997945906183333,0.11282699430183506,0.37059844170843786,0.6020473949649748,0.807975316371053,0.40020540938166677,0.11282699430183508,0.19202468362894715,0.39795260503502516,0.6294015582915623,0.16413278919940452,0.12920893615941173,0.005395204614859013,0.13757851346564232,0.4630116009464138,0.8358672108005955,0.12920893615941176,0.5369883990535863,0.8624214865343578,0.9946047953851409,54,9
PNU,PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,10,0.5039228812851329,0.18854408555271496,0.1978146343154969,0.48140511561321814,0.8964974268313108,0.4960771187148672,0.18854408555271496,0.10350257316868945,0.5185948843867818,0.8021853656845032,0.5935640315279092,0.11604129490212581,0.35743256443717775,0.5958757187571959,0.8069828217565076,0.4064359684720909,0.1160412949021258,0.19301717824349254,0.40412428124280403,0.6425674355628225,0.15347491119193737,0.12493095806906974,0.00434473185899508,0.12558939331162447,0.44906278105221004,0.8465250888080627,0.12493095806906974,0.5509372189477902,0.8744106066883756,0.9956552681410049,54,10
