model,interval_type,1 year estimate,1 year lower_95,1 year upper_95,2 year estimate,2 year lower_95,2 year upper_95,3 year estimate,3 year lower_95,3 year upper_95,4 year estimate,4 year lower_95,4 year upper_95,5 year estimate,5 year lower_95,5 year upper_95,6 year estimate,6 year lower_95,6 year upper_95,7 year estimate,7 year lower_95,7 year upper_95,8 year estimate,8 year lower_95,8 year upper_95,9 year estimate,9 year lower_95,9 year upper_95,10 year estimate,10 year lower_95,10 year upper_95
KM benchmark,95% CI,0.072754,0.03524,0.108809,0.121529,0.072237,0.168203,0.168971,0.110171,0.223885,0.18343,0.121973,0.240586,0.21081,0.143128,0.273146,0.247209,0.163121,0.322847,0.247209,0.163121,0.322847,0.32645,0.187884,0.441373,0.32645,0.187884,0.441373,0.32645,0.187884,0.441373
Frequentist no-cure lognormal,95% CI,0.084171,0.058214,0.123574,0.132553,0.099543,0.18449,0.168409,0.128788,0.230565,0.197313,0.152759,0.268718,0.221677,0.17302,0.302015,0.242799,0.190001,0.330664,0.261475,0.205343,0.356355,0.278229,0.218472,0.378175,0.293429,0.230357,0.39884,0.307343,0.240813,0.41787
Frequentist mixture cure (overall),95% CI,0.0839,0.003082,0.115692,0.131967,0.00489,0.172835,0.167496,0.00632,0.217718,0.196079,0.00729,0.252409,0.220132,0.008042,0.281467,0.240956,0.008656,0.308535,0.259345,0.009359,0.332113,0.275823,0.010057,0.350923,0.290758,0.010653,0.369287,0.304417,0.011091,0.386736
Frequentist mixture cure (susceptible only),95% CI,0.088811,0.06062,0.131358,0.139333,0.101993,0.195205,0.176596,0.133425,0.244359,0.206534,0.158644,0.284367,0.231702,0.179229,0.317544,0.253475,0.19737,0.347104,0.27269,0.212798,0.373544,0.2899,0.2272,0.396792,0.30549,0.23988399999999999,0.419182,0.319742,0.251384,0.438592
Bayesian transition-only cure (overall),95% CrI,0.088654,0.059177,0.124525,0.139046,0.09968,0.181927,0.175402,0.130656,0.224072,0.204025,0.153927,0.262677,0.227658,0.172405,0.292627,0.247776,0.189265,0.318657,0.265275,0.201339,0.340987,0.280743,0.213799,0.362002,0.294586,0.225976,0.38087,0.3071,0.235138,0.400652
Bayesian transition-only cure (susceptible only),95% CrI,0.127708,0.071836,0.236087,0.199477,0.11978,0.362074,0.250753,0.155649,0.436907,0.290831,0.182199,0.492771,0.32373,0.205025,0.536816,0.351602,0.224195,0.572471,0.375745,0.241537,0.602154,0.397009,0.256557,0.628232,0.415979,0.26968,0.651215,0.433079,0.282952,0.671312
