model,estimation_method,interval_type,n_subjects,prediction_draws,susceptible_fraction_estimate,cure_fraction_estimate,uncertainty_sd,interval_lower_95,interval_median_50,interval_upper_95
Frequentist mixture cure,maximum likelihood,95% CI,208,4000,0.961735,0.038265,0.354163,0.024717,0.288447,0.97204
Bayesian transition-only cure,Bayesian posterior,95% CrI,208,400,0.745452,0.254548,0.159231,0.013533,0.231146,0.587289
