dataset,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,horizon_year,risk,survival,n_subjects,source_stage,model_class,model_block,family,model_id,formula_name,formula_label,interaction_branch,risk_lower,risk_upper,survival_lower,survival_upper,estimate_type,reporting_status,reporting_note,support_label,support_priority,primary_supported_flag,interpretation_note,risk_set_size,event_count_by_horizon,known_nonevent_by_horizon,max_followup_year,instability_marker,model_class_label,model_display_label,model_family,latency_type,admissible_flag,admissibility_reasons,screening_flag,screening_note
PNU,NA,NA,NA,site_free,NA,NA,3,0.49555696686100337,0.5044430331389966,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,4,0.5902435464484803,0.40975645355151963,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,5,0.6644412744765118,0.3355587255234882,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,6,0.7232347057972469,0.2767652942027531,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,7,0.7702911168658072,0.2297088831341928,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,8,0.8082939637438431,0.1917060362561569,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,9,0.8392335989089679,0.1607664010910321,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,10,0.8646051640108494,0.13539483598915056,54,Stage 5,no_cure,non_cure,exponential,PNU__base__exponential,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: exponential,exponential,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,1,0.21995069951959298,0.780049300480407,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,primary_supported,1,TRUE,Common comparison horizon retained for cross-model comparability.,28,8,28,2.6694045174538,primary_supported_window,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,2,0.3319808151641183,0.6680191848358816,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,sensitivity,3,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,12,1,2.6694045174538,limited_support_window,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
