dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_lnorm,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,nocure_weibull,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_coxph,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_exp,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_llogis,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_lnorm,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_weibull,NA,base,Base,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,20
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,PNU__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,PNU__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,PNU__base__loglogistic,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,PNU__base__lognormal,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,PNU__base__weibull,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-E,NA,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,PNU__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,PNU__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,PNU__base__loglogistic,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,PNU__base__lognormal,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,PNU__base__weibull,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LL,NA,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LN,PNU__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LN,PNU__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
PNU,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,PNU-L0-LN,PNU__base__loglogistic,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
