dataset,formula_name,formula_label,site_branch,interaction_branch,source_stage,model_class,model_class_label,family,model_id,benchmark_id,model_display_label,risk_year_1,risk_year_2,risk_year_3,risk_year_4,risk_year_5,risk_year_6,risk_year_7,risk_year_8,risk_year_9,risk_year_10,risk_lower_year_1,risk_lower_year_2,risk_lower_year_3,risk_lower_year_4,risk_lower_year_5,risk_lower_year_6,risk_lower_year_7,risk_lower_year_8,risk_lower_year_9,risk_lower_year_10,risk_upper_year_1,risk_upper_year_2,risk_upper_year_3,risk_upper_year_4,risk_upper_year_5,risk_upper_year_6,risk_upper_year_7,risk_upper_year_8,risk_upper_year_9,risk_upper_year_10,survival_year_1,survival_year_2,survival_year_3,survival_year_4,survival_year_5,survival_year_6,survival_year_7,survival_year_8,survival_year_9,survival_year_10,survival_lower_year_1,survival_lower_year_2,survival_lower_year_3,survival_lower_year_4,survival_lower_year_5,survival_lower_year_6,survival_lower_year_7,survival_lower_year_8,survival_lower_year_9,survival_lower_year_10,survival_upper_year_1,survival_upper_year_2,survival_upper_year_3,survival_upper_year_4,survival_upper_year_5,survival_upper_year_6,survival_upper_year_7,survival_upper_year_8,survival_upper_year_9,survival_upper_year_10,support_label_year_1,support_label_year_2,support_label_year_3,support_label_year_4,support_label_year_5,support_label_year_6,support_label_year_7,support_label_year_8,support_label_year_9,support_label_year_10,reporting_status_year_1,reporting_status_year_2,reporting_status_year_3,reporting_status_year_4,reporting_status_year_5,reporting_status_year_6,reporting_status_year_7,reporting_status_year_8,reporting_status_year_9,reporting_status_year_10,risk_set_size_year_1,risk_set_size_year_2,risk_set_size_year_3,risk_set_size_year_4,risk_set_size_year_5,risk_set_size_year_6,risk_set_size_year_7,risk_set_size_year_8,risk_set_size_year_9,risk_set_size_year_10
PNU,base,Base,site_free,no_age_sex_interaction,Stage 3,km_benchmark,KM benchmark,KM,km_overall,km_overall,KM: Overall KM benchmark,0.16985825872534,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,0.298818916915302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83014174127466,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,0.7011810830846978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 5,no_cure,No-cure,coxph,PNU__base__coxph,NA,No-cure: coxph,0.17110336517263866,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,0.3080439666123819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8288966348273613,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,0.6919560333876181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 5,no_cure,No-cure,exponential,PNU__base__exponential,NA,No-cure: exponential,0.2130032387690217,0.3732235405122501,0.49555696686100337,0.5902435464484803,0.6644412744765118,0.7232347057972469,0.7702911168658072,0.8082939637438431,0.8392335989089679,0.8646051640108494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7869967612309783,0.62677645948775,0.5044430331389966,0.40975645355151963,0.3355587255234882,0.2767652942027531,0.2297088831341928,0.1917060362561569,0.1607664010910321,0.13539483598915056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 5,no_cure,No-cure,loglogistic,PNU__base__loglogistic,NA,No-cure: loglogistic,0.219939056284582,0.32013659779378845,0.38821433531936245,0.43938412473857613,0.48000583940640945,0.513413209934167,0.541584658077408,0.5657930395211399,0.5869057087932206,0.6055398471333985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780060943715418,0.6798634022062116,0.6117856646806376,0.5606158752614239,0.5199941605935906,0.48658679006583305,0.45841534192259203,0.4342069604788601,0.4130942912067794,0.3944601528666015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 5,no_cure,No-cure,lognormal,PNU__base__lognormal,NA,No-cure: lognormal,0.22288675667451577,0.3116027953439274,0.36968031247353605,0.41287134176339735,0.44714579455432163,0.475458683641039,0.49950011850977266,0.5203306682747441,0.5386606601633402,0.554989498412735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7771132433254843,0.6883972046560726,0.630319687526464,0.5871286582366027,0.5528542054456784,0.524541316358961,0.5004998814902273,0.47966933172525594,0.4613393398366597,0.445010501587265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 5,no_cure,No-cure,weibull,PNU__base__weibull,NA,No-cure: weibull,0.21995069951959298,0.3319808151641183,0.41378019375197306,0.4781770354277421,0.5308891447670986,0.5751200366318358,0.6128913373568566,0.6455771552950861,0.6741604639556962,0.6993713135280125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780049300480407,0.6680191848358816,0.5862198062480269,0.521822964572258,0.4691108552329014,0.4248799633681642,0.3871086626431433,0.354422844704914,0.3258395360443038,0.3006286864719875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 7,frequentist_cure,Frequentist cure,other,cure_aft_sensitivity,NA,Cure MLE: other,0.219320408965562,0.302572517131887,0.350601798812509,0.378307872138682,0.399435541116959,0.415327942688559,0.429366250369362,0.433036827089261,0.433036827089261,0.440033475616044,0.0974433967300549,0.157788916454315,0.165907298740742,0.174337656342241,0.175262372616608,0.177805383715382,0.181918421740716,0.182587079228781,0.182587079228781,0.182587079228781,0.322074313752433,0.438636503762044,0.495891636808169,0.537152075403035,0.57087934600798,0.585227851779995,0.602316125721364,0.61742386276715,0.636358706171069,0.648932353789703,0.780679591034438,0.697427482868113,0.649398201187491,0.621692127861318,0.600564458883041,0.584672057311441,0.570633749630638,0.566963172910739,0.566963172910739,0.559966524383956,0.677925686247567,0.561363496237956,0.504108363191831,0.462847924596965,0.42912065399202004,0.41477214822000497,0.39768387427863605,0.38257613723285,0.36364129382893096,0.35106764621029696,0.9025566032699451,0.842211083545685,0.834092701259258,0.825662343657759,0.824737627383392,0.822194616284618,0.818081578259284,0.817412920771219,0.817412920771219,0.817412920771219,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 7,frequentist_cure,Frequentist cure,other,cure_coxlatency,NA,Cure MLE: other,0.164926467210903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.365545357977903,0.0659118785335636,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.169860323614065,0.285496262433329,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.533453595084682,0.835073532789097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.634454642022097,0.714503737566671,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.46654640491531796,0.9340881214664364,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,0.830139676385935,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 7,frequentist_cure,Frequentist cure,other,cure_exp,NA,Cure MLE: other,0.243096322758344,0.319485770898476,0.347756220290209,0.359565349759405,0.364936279322091,0.367528637781533,0.368833709539881,0.369511069603205,0.369870687037188,0.370064940556227,0.118555396737286,0.160876138226686,0.178324206042524,0.187169348754276,0.191145120551411,0.195283885930766,0.198892912272116,0.201369446083645,0.205448365199481,0.206432629208231,0.351758278869915,0.457186086955299,0.534845483418565,0.597081860048301,0.647039629277359,0.677977868651956,0.706784638887385,0.724788253964227,0.745676514033015,0.764123301198556,0.756903677241656,0.680514229101524,0.652243779709791,0.640434650240595,0.635063720677909,0.632471362218467,0.631166290460119,0.630488930396795,0.630129312962812,0.629935059443773,0.648241721130085,0.542813913044701,0.46515451658143503,0.402918139951699,0.35296037072264097,0.322022131348044,0.29321536111261504,0.27521174603577303,0.25432348596698495,0.23587669880144402,0.881444603262714,0.839123861773314,0.821675793957476,0.812830651245724,0.808854879448589,0.804716114069234,0.801107087727884,0.798630553916355,0.794551634800519,0.793567370791769,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
PNU,base,Base,site_free,no_age_sex_interaction,Stage 7,frequentist_cure,Frequentist cure,other,cure_llogis,NA,Cure MLE: other,0.242236463640053,0.302053000724876,0.329316439202223,0.344887076623689,0.354920680399107,0.361900743724191,0.367022493033064,0.37093179931547,0.374007795652096,0.376487383358325,0.117212735884972,0.161356170066721,0.174887022854164,0.180645209265103,0.181991319267715,0.183544915538565,0.183597801742443,0.184856665388232,0.186287302466825,0.187629630527198,0.360573653903498,0.444381136681599,0.5014765742163,0.546820979018277,0.578351965063919,0.607250572738216,0.630007992941835,0.648606478316603,0.658935596476772,0.669612939610006,0.757763536359947,0.697946999275124,0.670683560797777,0.65511292337631,0.645079319600893,0.638099256275809,0.632977506966936,0.62906820068453,0.625992204347904,0.623512616641675,0.639426346096502,0.5556188633184009,0.4985234257837,0.453179020981723,0.42164803493608105,0.39274942726178397,0.36999200705816504,0.351393521683397,0.341064403523228,0.330387060389994,0.8827872641150281,0.838643829933279,0.825112977145836,0.819354790734897,0.818008680732285,0.816455084461435,0.816402198257557,0.815143334611768,0.813712697533175,0.812370369472802,primary_supported,sensitivity,projection,projection,projection,projection,projection,projection,projection,projection,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,28,1,0,0,0,0,0,0,0,0
