dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,reverse_km_records,reverse_km_events,reverse_km_median_followup_year,reverse_km_median_followup_lcl_year,reverse_km_median_followup_ucl_year,n_total,max_observed_followup_year,max_site_specific_potential_followup_year,max_global_potential_followup_year
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,54,29,1.571526351813826,1.1389459274469542,1.998631074606434,54,2.6694045174537986,3.8275154004106775,3.8275154004106775
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,transition_only,54,42,1.3716632443531827,0.75564681724846,1.6125941136208077,54,2.6694045174537986,3.8275154004106775,3.8275154004106775
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,remission_sensitive,26,14,1.3716632443531827,0.487337440109514,NA,26,1.998631074606434,3.8275154004106775,3.8275154004106775
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,transition_only,26,19,1.1170431211498972,0.487337440109514,1.571526351813826,26,1.998631074606434,3.8275154004106775,3.8275154004106775
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,remission_sensitive,28,15,1.998631074606434,1.2594113620807665,1.998631074606434,28,2.6694045174537986,3.578370978781656,3.578370978781656
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,transition_only,28,23,1.5496235455167693,0.7693360711841205,1.9767282683093772,28,2.6694045174537986,3.578370978781656,3.578370978781656
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,remission_sensitive,208,170,4.914442162902122,4.098562628336755,4.999315537303217,208,10.105407255304586,14.507871321013004,14.507871321013004
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,transition_only,208,170,4.914442162902122,4.098562628336755,4.999315537303217,208,10.105407255304586,14.507871321013004,14.507871321013004
SNU,sex,Female,SNU__sex__Female,SNU | Sex = Female,remission_sensitive,66,54,4.098562628336755,2.726899383983573,5.002053388090349,66,9.960301163586584,14.335386721423683,14.335386721423683
SNU,sex,Female,SNU__sex__Female,SNU | Sex = Female,transition_only,66,54,4.098562628336755,2.726899383983573,5.002053388090349,66,9.960301163586584,14.335386721423683,14.335386721423683
SNU,sex,Male,SNU__sex__Male,SNU | Sex = Male,remission_sensitive,142,116,4.950034223134839,4.287474332648871,4.999315537303217,142,10.105407255304586,14.507871321013004,14.507871321013004
SNU,sex,Male,SNU__sex__Male,SNU | Sex = Male,transition_only,142,116,4.950034223134839,4.287474332648871,4.999315537303217,142,10.105407255304586,14.507871321013004,14.507871321013004
merged,overall,Overall,merged__overall__Overall,merged | Overall,remission_sensitive,262,199,4.210814510609172,3.277207392197125,4.950034223134839,262,10.105407255304586,14.507871321013004,19.20602327173169
merged,overall,Overall,merged__overall__Overall,merged | Overall,transition_only,262,212,3.8275154004106775,2.726899383983573,4.61327857631759,262,10.105407255304586,14.507871321013004,19.20602327173169
merged,sex,Female,merged__sex__Female,merged | Sex = Female,remission_sensitive,92,68,3.34839151266256,2.0342231348391513,4.61327857631759,92,9.960301163586584,14.335386721423683,19.033538672142367
merged,sex,Female,merged__sex__Female,merged | Sex = Female,transition_only,92,73,2.726899383983573,1.626283367556468,4,92,9.960301163586584,14.335386721423683,19.033538672142367
merged,sex,Male,merged__sex__Male,merged | Sex = Male,remission_sensitive,170,131,4.747433264887063,3.8275154004106775,4.999315537303217,170,10.105407255304586,14.507871321013004,19.20602327173169
merged,sex,Male,merged__sex__Male,merged | Sex = Male,transition_only,170,139,4.287474332648871,3.0390143737166326,4.960985626283367,170,10.105407255304586,14.507871321013004,19.20602327173169
merged,site,PNU,merged__site__PNU,merged | Site = PNU,remission_sensitive,54,29,1.571526351813826,1.1389459274469542,1.998631074606434,54,2.6694045174537986,3.8275154004106775,3.8275154004106775
merged,site,PNU,merged__site__PNU,merged | Site = PNU,transition_only,54,42,1.3716632443531827,0.75564681724846,1.6125941136208077,54,2.6694045174537986,3.8275154004106775,3.8275154004106775
merged,site,SNU,merged__site__SNU,merged | Site = SNU,remission_sensitive,208,170,4.914442162902122,4.098562628336755,4.999315537303217,208,10.105407255304586,14.507871321013004,19.20602327173169
merged,site,SNU,merged__site__SNU,merged | Site = SNU,transition_only,208,170,4.914442162902122,4.098562628336755,4.999315537303217,208,10.105407255304586,14.507871321013004,19.20602327173169
