dataset,subgroup_kind,subgroup_value,group_id,panel_label,summary_view,curve_role,time_year,estimate,conf_low,conf_high,std_error,n_risk,n_event,n_censor,n_total,interpretation_tier,support_tier_standard,support_display_group,support_display_label,n_risk_fraction,state,state_n,state_prop
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1.75,0.16666666666666666,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,9,0.16666666666666666
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1.75,0.4074074074074074,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,22,0.4074074074074074
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,1.75,0.2037037037037037,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,11,0.2037037037037037
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2,0.018518518518518517,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.25,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.25,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.25,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.25,0.018518518518518517,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.5,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.5,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.5,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.5,0.018518518518518517,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,still_under_followup,1,0.018518518518518517
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.75,0.2222222222222222,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,transition,12,0.2222222222222222
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.75,0.24074074074074073,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,remission,13,0.24074074074074073
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,remission_sensitive,composition_state,2.75,0.5370370370370371,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,right_censoring,29,0.5370370370370371
