flag_domain,flag_severity,flag_code,dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,summary_view,horizon_year,flag_text_value,flag_numeric_value,flag_message
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,remission_sensitive,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,remission_sensitive,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,remission_sensitive,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,remission_sensitive,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,remission_sensitive,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_very_sparse,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,2,very_sparse,1,Displayed with caution: very sparse risk set.
completeness,warning,completeness_masked_no_risk_set,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,3,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,4,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,5,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,merged,site,PNU,merged__site__PNU,merged | Site = PNU,site_adjusted,transition_only,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,caution,completeness_low_fraction,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,remission_sensitive,8,low_fraction,0.07692307692307693,Displayed with caution: low remaining risk-set fraction.
completeness,warning,completeness_very_sparse,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,remission_sensitive,9,very_sparse,3,Displayed with caution: very sparse risk set.
completeness,warning,completeness_very_sparse,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,remission_sensitive,10,very_sparse,1,Displayed with caution: very sparse risk set.
completeness,caution,completeness_low_fraction,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,transition_only,8,low_fraction,0.07692307692307693,Displayed with caution: low remaining risk-set fraction.
completeness,warning,completeness_very_sparse,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,transition_only,9,very_sparse,3,Displayed with caution: very sparse risk set.
completeness,warning,completeness_very_sparse,merged,site,SNU,merged__site__SNU,merged | Site = SNU,site_adjusted,transition_only,10,very_sparse,1,Displayed with caution: very sparse risk set.
