dataset,dataset_label,model_id,prior_branch,site_adjustment_flag,n_draws_total,n_draws_used,cor_cure_vs_sigma,cor_cure_vs_weighted_subject_median,cor_cure_vs_cohort_uncured_median,cor_sigma_vs_cohort_uncured_median,cure_fraction_mean,cure_fraction_q025,cure_fraction_q975,latency_sigma_mean,latency_sigma_q025,latency_sigma_q975,weighted_subject_median_mean,weighted_subject_median_q025,weighted_subject_median_q975,cohort_uncured_median_mean,cohort_uncured_median_q025,cohort_uncured_median_q975
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,4000,1000,-0.5498338932120151,-0.5386519068541019,-0.5282853703179342,0.548041451998829,0.4855163433453282,0.040504302484461255,0.7902526569066495,1.870942031118205,1.1485318061033674,2.9953131519276734,2.422755698102259,0.28329481214112817,9.763529821510044,2.016079612411414,0.24055126020045534,8.182461377983728
PNU,PNU,PNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,4000,1000,-0.46200042317196455,-0.47786515584660594,-0.5162523384651363,0.650489015811595,0.2522727091509125,4.1376188662811664e-4,0.7042263765708756,2.170533025674346,1.2687228247415845,3.3153132844038593,4.999475411206252,0.46874630327642125,19.271855024126495,4.229967990419524,0.35449713176586795,15.456942189011611
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,4000,1000,-0.4616831195183271,-0.638838284639888,-0.6679516942799154,0.724016803234507,0.2521866250658359,0.0127887237910884,0.6134522953667224,2.373811040029113,1.7516893282919535,3.08494521735115,21.874101914627733,3.7611175387569618,59.932494076406456,20.338644608440276,3.5698956978678034,54.95053069595922
SNU,SNU,SNU-L0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,4000,1000,-0.3982375425197766,-0.5479692303100745,-0.5746918967394629,0.7288957711855905,0.13770901504664027,8.81009255355299e-5,0.5289662077932222,2.472833330109292,1.875321625819467,3.1933456580834836,29.45322988352486,6.534300918660481,71.63431707221193,27.448881120116383,5.572111579167704,66.75448860157168
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,anchor_informed,FALSE,4000,1000,-0.563963650178918,-0.7075563870172046,-0.7191573432691105,0.7371856360237868,0.2649916318938498,0.026749039132235843,0.5867830785426865,2.4739396411549315,1.8719232631714808,3.1511341527516508,17.12036103588437,3.4298064002260022,46.660778466702695,15.530560754804426,3.0255496682280407,41.04208811101098
merged_no_site,Merged,MERGED-I0-L0S0-LN-ANCH-NOSITE__neutral,neutral_no_external_info,FALSE,4000,1000,-0.40723581401854736,-0.5731737970504067,-0.5957276401352155,0.7403425396559868,0.13525050150019385,2.568935893651693e-4,0.49967242244757415,2.616615125241933,2.0438715522622175,3.241537206906499,25.673964180208294,5.2531702564829,64.69060736863017,23.27324311839926,4.5654767502936355,58.25644796535683
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01,anchor_informed,TRUE,4000,1000,-0.4619968134261983,-0.6504584399697437,-0.6844380233200159,0.7670252620080318,0.19466067676047547,0.013544733570182071,0.508233282601495,2.4368765171112616,1.9171604282821737,3.102082132222513,20.37314321769969,5.125997702769835,50.47004979943273,17.18218419484761,4.241281750960276,39.89178129342713
merged_site_adjusted,Merged (site-adjusted),MERGED-I1-L0S1-LN-ANCH-N01__neutral,neutral_no_external_info,TRUE,4000,1000,-0.38017899159342916,-0.5846885035809796,-0.6276896171127226,0.7372444791991384,0.12373145029226107,2.0138774674078596e-4,0.4758974256586799,2.522155057355074,1.9824552556629746,3.1532193140144464,25.2404783186307,6.415319912145212,57.76327842280067,21.151565012285143,5.421953342888143,46.9556598670734
