dataset_version_key,dataset_key,model_id,parameter,mean,sd,q025,q50,q975,n_eff,rhat
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,alpha_inc,-0.9551408784928306,1.048359264045928,-2.4080701818705244,-1.1328612161082416,1.7073145946640522,1585.1751301972363,1.0004025520968889
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,beta_inc[1],0.4104794975452191,0.12641221581669593,0.16264285376860857,0.41085348889984663,0.6593026123863459,5774.828257438521,0.9995493969997845
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,beta_inc[2],0.916042734535132,0.16919448587087077,0.5905879385973382,0.9172992361573531,1.2461140035184,6383.350885461108,1.0002769703221004
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,beta_inc[3],0.6155978007856044,0.19098268234661273,0.24072715337690034,0.6157974706757751,0.9923461940858385,6050.009781922105,0.9992140507924886
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,beta_inc[4],0.39715058982172047,0.2771929569864385,-0.13517949414652328,0.3921689099576979,0.9434247957345472,6200.26306806859,0.9994867883960239
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,beta_inc[5],0.0862848770077454,0.3028711492315264,-0.5021990825430436,0.0878727055164038,0.6798288500777522,6954.636205202758,0.9997624195723612
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,gamma0,-0.12521666506676302,0.9445027786777673,-1.718686845438978,-0.22461883014830764,1.9264013701697555,1722.286346293324,1.0004002244355554
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,gamma_lat[1],0.4002740636329115,0.6769450341725166,-0.9737746977508626,0.42554866309322537,1.6990395638399016,3997.170575633329,1.0001445765867394
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,gamma_lat[2],0.6690643255929339,0.7125446703894162,-0.7526337156010102,0.6724817922241877,2.0819379788188312,5208.375571572604,0.9996127171949456
PNU,PNU,PNU-L0-LN-ANCH-NOSITE,log_sigma_LN,0.6019747413170885,0.24784778019604303,0.1280388713909494,0.5991045705132209,1.0866407994821685,2262.147362271511,0.9997124851753026
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,alpha_inc,0.6657698790102444,1.215066977828653,-1.1610068993903746,0.4680988864048943,3.677368674367195,1610.411335318425,1.0027934314829463
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,beta_inc[1],0.42768086240351044,0.12950399252904773,0.17453178962625984,0.4252408780607623,0.6794320036226745,4475.952796912456,0.9993983392477572
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,beta_inc[2],0.8764015960926391,0.1766845788059727,0.5277712865398573,0.8752785374810351,1.2233497604503614,4434.649526415739,0.9992478475510357
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,beta_inc[3],0.6006354122264354,0.18875405604468914,0.22501680300949178,0.601048996222621,0.9721553808496987,4215.69859923695,0.9998522293253259
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,beta_inc[4],0.4021617137270592,0.28972294566091433,-0.16199173549657267,0.3998856284885926,0.9748687662316676,4130.087062794578,0.9999911182861346
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,beta_inc[5],0.07203041888949632,0.2985497699014082,-0.511130513394927,0.07273231062039408,0.6634178154524594,3921.0611122028754,1.0002443341941565
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,gamma0,2.64660447786406,0.7884730704358323,0.9557865889133554,2.6822838774374254,4.101879846426209,1476.260039321704,1.0030361036796966
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,gamma_lat[1],0.05699510401213464,0.47096382695892614,-0.8844164617249936,0.059848504281303797,0.9785515712171552,3608.546954433118,0.9998741305820534
