dataset_scope,scenario_id,scenario_label,cure_fraction__frequentist_mixture_cure_lognormal,cure_fraction__bayesian_mixture_cure,cure_fraction_diff_vs_full__frequentist_mixture_cure_lognormal,cure_fraction_diff_vs_full__bayesian_mixture_cure,risk10_no_cure_lognormal,risk10_frequentist_mixture_cure_lognormal,risk10_bayesian_mixture_cure,cure_signal_interpretation
SNU,truncated_2y,Truncated at 2 years,0.8079176836728392,0.6672861711986019,0.7696530640019433,0.4304960083231464,0.27055069052471503,0.1723026685658468,0.20843189934925133,mixed_change
SNU,truncated_3y,Truncated at 3 years,0.5281185350941269,0.4826963446259737,0.489853915423231,0.2459061817505182,0.303828903868843,0.2697624611587496,0.2721091065651678,mixed_change
merged,truncated_2y,Truncated at 2 years,0.7662880652127271,0.5458100658721894,0.5934409388874428,0.34880372446246893,0.33138672674403913,0.2148192334577067,0.26705911416988243,mixed_change
merged,truncated_3y,Truncated at 3 years,0.3064100481875289,0.3997224054255257,0.1335629218622446,0.20271606401580522,0.3546068053407363,0.34068587612968737,0.31613587949027766,mixed_change
