dataset_scope,scenario_id,scenario_label,model_group,model_name,model_label,max_abs_risk_diff_vs_full,risk_diff_vs_full_at_2y,risk_diff_vs_full_at_3y,risk_diff_vs_full_at_5y,risk_diff_vs_full_at_10y,cure_fraction_diff_vs_full
SNU,truncated_2y,Truncated at 2 years,Bayesian cure,bayesian_mixture_cure,Bayesian cure,0.0957890630486034,-0.014626551914159222,-0.028281227642387857,-0.0521675736489807,-0.0957890630486034,0.4304960083231464
SNU,truncated_2y,Truncated at 2 years,Frequentist cure,frequentist_mixture_cure_lognormal,Frequentist mixture cure,0.13211425190992165,-0.013446090578323092,-0.03186452796778602,-0.06606363331537843,-0.13211425190992165,0.7696530640019433
SNU,truncated_2y,Truncated at 2 years,KM,km,KM,0.2049208589698659,0,-0.04744162411731967,-0.08928098263096784,-0.2049208589698659,NA
SNU,truncated_2y,Truncated at 2 years,No-cure,no_cure_exponential,No-cure exponential,0.07737262978486636,0.02847983317820424,0.03950032578977014,0.05639295767107033,0.07737262978486636,NA
SNU,truncated_2y,Truncated at 2 years,No-cure,no_cure_loglogistic,No-cure loglogistic,0.011179789652989158,-0.0035437645345742785,-0.004922765642461857,-0.007225992784017254,-0.011179789652989158,NA
SNU,truncated_2y,Truncated at 2 years,No-cure,no_cure_lognormal,No-cure lognormal,0.036792484834610395,-0.011107813633691843,-0.016333640394305737,-0.02426543441047091,-0.036792484834610395,NA
SNU,truncated_2y,Truncated at 2 years,No-cure,no_cure_weibull,No-cure weibull,0.005909105463262065,1.1764450113660452e-4,0.0011417563128474084,0.002937939520438082,0.005909105463262065,NA
SNU,truncated_3y,Truncated at 3 years,Bayesian cure,bayesian_mixture_cure,Bayesian cure,0.03211185583268694,8.60789853523336e-4,-0.0032481114390333354,-0.01224628995621796,-0.03211185583268694,0.2459061817505182
SNU,truncated_3y,Truncated at 3 years,Frequentist cure,frequentist_mixture_cure_lognormal,Frequentist mixture cure,0.03465445931701888,0.0025925451612810457,-0.001258160145904491,-0.010775747879906622,-0.03465445931701888,0.489853915423231
SNU,truncated_3y,Truncated at 3 years,KM,km,KM,0.15747923485254622,0,0,-0.04183935851364817,-0.15747923485254622,NA
SNU,truncated_3y,Truncated at 3 years,No-cure,no_cure_exponential,No-cure exponential,0.07047730231279936,0.02396401303622331,0.03361314951410743,0.04901957770087928,0.07047730231279936,NA
SNU,truncated_3y,Truncated at 3 years,No-cure,no_cure_loglogistic,No-cure loglogistic,0.017668652091449966,0.003990860621687964,0.006565959359813078,0.010791018466479785,0.017668652091449966,NA
SNU,truncated_3y,Truncated at 3 years,No-cure,no_cure_lognormal,No-cure lognormal,0.0035142714904824457,-2.4238013937516456e-4,-8.479311802063183e-4,-0.0018395851614709802,-0.0035142714904824457,NA
SNU,truncated_3y,Truncated at 3 years,No-cure,no_cure_weibull,No-cure weibull,0.032933890038710945,0.006025309304525606,0.01034795771164021,0.01813031607727089,0.032933890038710945,NA
merged,truncated_2y,Truncated at 2 years,Bayesian cure,bayesian_mixture_cure,Bayesian cure,0.07629857588915417,-0.012364961565270977,-0.023226581178310363,-0.0420358544633502,-0.07629857588915417,0.34880372446246893
merged,truncated_2y,Truncated at 2 years,Frequentist cure,frequentist_mixture_cure_lognormal,Frequentist mixture cure,0.13009856966810412,-0.011398861435881508,-0.030773820718365874,-0.06570412169257844,-0.13009856966810412,0.5934409388874428
merged,truncated_2y,Truncated at 2 years,KM,km,KM,0.19719608835164593,0,-0.045368693406749205,-0.08570646120985514,-0.19719608835164593,NA
merged,truncated_2y,Truncated at 2 years,No-cure,no_cure_exponential,No-cure exponential,0.06148792598381014,0.023734887199415966,0.031867757345217074,0.04421802130955732,0.06148792598381014,NA
merged,truncated_2y,Truncated at 2 years,No-cure,no_cure_loglogistic,No-cure loglogistic,0.00725471582587689,-0.0027185504273563588,-0.0036972907376645603,-0.005157661439912253,-0.00725471582587689,NA
