dataset,dataset_label,horizon_year,anchor_overall_risk_prob,neutral_overall_risk_prob,delta_risk_anchor_minus_neutral,anchor_cure_fraction,neutral_cure_fraction,delta_cure_fraction_anchor_minus_neutral
PNU,PNU,1,0.21963728544455982,0.2332008528340499,-0.013563567389490078,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,2,0.28561106137839254,0.31644565591759416,-0.03083459453920162,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,3,0.32213272409218957,0.36706159318381953,-0.044928869091629964,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,4,0.3463104082794019,0.4027434360569288,-0.0564330277775269,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,5,0.3638589930042707,0.42989383542116655,-0.06603484241689583,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,6,0.3773435817947466,0.4515595248388755,-0.07421594304412893,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,7,0.38811848907412005,0.4694248344834316,-0.08130634540931153,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,8,0.39697794152311133,0.4845156107724998,-0.0875376692493885,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,9,0.4044235682233395,0.49750087358093653,-0.093077305357597,0.48987217333071315,0.24675152091144636,0.24312065241926678
PNU,PNU,10,0.41079025520900053,0.5088398240254659,-0.09804956881646537,0.48987217333071315,0.24675152091144636,0.24312065241926678
SNU,SNU,1,0.08794816414494046,0.08705981071513513,8.883534298053247e-4,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,2,0.13737085647856212,0.13706493503701703,3.059214415450928e-4,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,3,0.17316116151953043,0.17361695761961038,-4.5579610007995264e-4,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,4,0.20144602222939084,0.20270431013427667,-0.0012582879048858298,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,5,0.22487905887125922,0.22693893239671534,-0.002059873525456113,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,6,0.2448870580576549,0.24773198886016284,-0.0028449308025079445,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,7,0.26233619562892696,0.26594351048499476,-0.0036073148560678003,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,8,0.27779574886148084,0.2821406350770075,-0.004344886215526644,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,9,0.2916615956475078,0.2967189354501904,-0.005057339802682581,0.23679016287545554,0.15530949835323132,0.08148066452222422
SNU,SNU,10,0.30422096239785473,0.3099662010683387,-0.0057452386704839875,0.23679016287545554,0.15530949835323132,0.08148066452222422
