file_name,object_name,description,file_path
stage3_km_benchmark_registry.csv,km_benchmark_registry,Registry of Stage 3 KM benchmark variants,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_benchmark_registry.csv
stage3_km_subject_horizon_predictions.csv,km_subject_horizon_predictions,Subject-by-horizon KM prediction table; main source of truth for Stage 3 benchmark outputs,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_subject_horizon_predictions.csv
stage3_km_group_risk_table.csv,km_group_risk_table,Group-level KM survival and risk table derived from the subject-horizon source object,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_group_risk_table.csv
stage3_km_benchmark_classification.csv,km_benchmark_classification,Long-format KM benchmark classification table aligned to Stage 1 horizons and thresholds,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_benchmark_classification.csv
stage3_km_stage_metadata.csv,stage3_metadata,Stage 3 metadata and evaluation-rule notes,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_stage_metadata.csv
stage3_km_fit_objects.rds,km_fit_objects,Saved survfit objects for KM benchmark variants,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_fit_objects.rds
stage3_km_output_bundle.rds,stage3_output_bundle,Reusable Stage 3 KM bundle containing comparison-ready outputs,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_km_output_bundle.rds
stage3_export_manifest.csv,stage3_export_manifest,Manifest of all Stage 3 exported files,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage3/attachments/stage3_export_manifest.csv
