dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.2988189169153016
PNU,No-cure lognormal,0.5386606601633401
PNU,Frequentist mixture cure (lognormal),0.3848863407833013
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.9563024335791304
PNU,Bayesian transition-only cure,0.40047272784592314
PNU,Bayesian transition-only cure (susceptible only),0.8147612181684606
SNU,KM benchmark,0.3264499672580006
SNU,No-cure lognormal,0.29342906589658335
SNU,Frequentist mixture cure (lognormal),0.29075809315459433
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.30548975823022967
SNU,Bayesian transition-only cure,0.2885342378804188
SNU,Bayesian transition-only cure (susceptible only),0.41914864828760234
merged,KM benchmark,0.3506232937185608
merged,No-cure lognormal,0.32541810480440425
merged,Frequentist mixture cure (lognormal),0.32178747309635564
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.3600725258944168
merged,Bayesian transition-only cure,0.3189059685192957
merged,Bayesian transition-only cure (susceptible only),0.4473545424814379
merged_site_adjusted,KM benchmark,0.3506232937185608
merged_site_adjusted,No-cure lognormal,0.3419689388363184
merged_site_adjusted,Frequentist mixture cure (lognormal),0.3317537217873412
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.4157278831605973
merged_site_adjusted,Bayesian transition-only cure,0.33479571140993847
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.43139669450117935
