dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.16985825872534022
PNU,No-cure lognormal,0.22288675667451596
PNU,Frequentist mixture cure (lognormal),0.24148782373208508
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.6437037713077448
PNU,Bayesian transition-only cure,0.21429575097468084
PNU,Bayesian transition-only cure (susceptible only),0.4703262368176137
SNU,KM benchmark,0.07275402461899805
SNU,No-cure lognormal,0.08417110827460073
SNU,Frequentist mixture cure (lognormal),0.08389965415522697
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.08881057454195349
SNU,Bayesian transition-only cure,0.08822973227975929
SNU,Bayesian transition-only cure (susceptible only),0.1315406505795171
merged,KM benchmark,0.09152016083182768
merged,No-cure lognormal,0.10869620699333936
merged,Frequentist mixture cure (lognormal),0.10890691637702885
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.12387874484741077
merged,Bayesian transition-only cure,0.11191600758259963
merged,Bayesian transition-only cure (susceptible only),0.15988569339014108
merged_site_adjusted,KM benchmark,0.09152016083182768
merged_site_adjusted,No-cure lognormal,0.11181602177319848
merged_site_adjusted,Frequentist mixture cure (lognormal),0.11244143688046966
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.1460705241976034
merged_site_adjusted,Bayesian transition-only cure,0.1131322615349602
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.14809303058125142
