dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.2988189169153016
PNU,No-cure lognormal,0.4471457945543217
PNU,Frequentist mixture cure (lognormal),0.36229879209965354
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.9122275004023072
PNU,Bayesian transition-only cure,0.3583447113392861
PNU,Bayesian transition-only cure (susceptible only),0.742066603110855
SNU,KM benchmark,0.21081009091910252
SNU,No-cure lognormal,0.22167667333136187
SNU,Frequentist mixture cure (lognormal),0.2201322320981554
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.231702193801468
SNU,Bayesian transition-only cure,0.22366651768578205
SNU,Bayesian transition-only cure (susceptible only),0.32757834518129736
merged,KM benchmark,0.23913366657677004
merged,No-cure lognormal,0.2541326946870188
merged,Frequentist mixture cure (lognormal),0.25255635218401284
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.2837515176566992
merged,Bayesian transition-only cure,0.254398898454837
merged,Bayesian transition-only cure (susceptible only),0.35893888941188395
merged_site_adjusted,KM benchmark,0.23913366657677004
merged_site_adjusted,No-cure lognormal,0.2662494469829444
merged_site_adjusted,Frequentist mixture cure (lognormal),0.2614726110916907
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.33034441527717845
merged_site_adjusted,Bayesian transition-only cure,0.26460053220685453
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.34258768670350853
