dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.2988189169153016
PNU,No-cure lognormal,0.41287134176339735
PNU,Frequentist mixture cure (lognormal),0.350729408877424
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.8886139221125301
PNU,Bayesian transition-only cure,0.3404016973702057
PNU,Bayesian transition-only cure (susceptible only),0.7101656119560734
SNU,KM benchmark,0.1834300328489491
SNU,No-cure lognormal,0.19731320882079184
SNU,Frequentist mixture cure (lognormal),0.1960793493928245
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.20653400533508107
SNU,Bayesian transition-only cure,0.2007318908590824
SNU,Bayesian transition-only cure (susceptible only),0.29486064439747073
merged,KM benchmark,0.21273626317229077
merged,No-cure lognormal,0.2293909898253309
merged,Frequentist mixture cure (lognormal),0.2283418846340956
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.2569587070082738
merged,Bayesian transition-only cure,0.231168599767195
merged,Bayesian transition-only cure (susceptible only),0.3268437150610381
merged_site_adjusted,KM benchmark,0.21273626317229077
merged_site_adjusted,No-cure lognormal,0.23993097292040025
merged_site_adjusted,Frequentist mixture cure (lognormal),0.2366093394689285
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.29994407749192004
merged_site_adjusted,Bayesian transition-only cure,0.2395378676413876
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.3106821025909082
