dataset_name,model_name,estimated_risk_probability
PNU,KM benchmark,0.2988189169153016
PNU,No-cure lognormal,0.4995001185097725
PNU,Frequentist mixture cure (lognormal),0.37654234094131667
PNU,"Frequentist mixture cure (lognormal, susceptible only)",0.9403820724216264
PNU,Bayesian transition-only cure,0.38341889131503254
PNU,Bayesian transition-only cure (susceptible only),0.7857108651023531
SNU,KM benchmark,0.24720878693541223
SNU,No-cure lognormal,0.26147519670292774
SNU,Frequentist mixture cure (lognormal),0.2593450633583403
SNU,"Frequentist mixture cure (lognormal, susceptible only)",0.2726900572939086
SNU,Bayesian transition-only cure,0.2601370137667856
SNU,Bayesian transition-only cure (susceptible only),0.37923461747959875
merged,KM benchmark,0.2742260341560385
merged,No-cure lognormal,0.293930243275208
merged,Frequentist mixture cure (lognormal),0.29130632420097585
merged,"Frequentist mixture cure (lognormal, susceptible only)",0.3265189619807026
merged,Bayesian transition-only cure,0.29085771077749356
merged,Bayesian transition-only cure (susceptible only),0.4090380511962572
merged_site_adjusted,KM benchmark,0.2742260341560385
merged_site_adjusted,No-cure lognormal,0.3085511370651227
merged_site_adjusted,Frequentist mixture cure (lognormal),0.3009676089003161
merged_site_adjusted,"Frequentist mixture cure (lognormal, susceptible only)",0.3784197555233333
merged_site_adjusted,Bayesian transition-only cure,0.304172161733994
merged_site_adjusted,Bayesian transition-only cure (susceptible only),0.3927516593445552
