dataset,model_id,parameter,mean,sd,q025,q50,q975
merged,MERGED-Isite-L0S0-E,beta_inc[1],0.412836939377474,0.129747507521129,0.157027523706409,0.41222054809791697,0.667974601996343
merged,MERGED-Isite-L0S0-E,beta_inc[2],0.768824589043657,0.167953267207937,0.448787893961371,0.766934918536627,1.11746114005561
merged,MERGED-Isite-L0S0-E,beta_inc[3],0.623020984539431,0.182881776904073,0.258312079009137,0.623311024071828,0.976620092560893
merged,MERGED-Isite-L0S0-E,beta_inc[4],0.130493643772749,0.272943756402621,-0.37756821244779,0.119356983824374,0.699074724250298
merged,MERGED-Isite-L0S0-E,beta_inc[5],0.136835682651026,0.296731019101249,-0.431962080608777,0.132585095134055,0.724140235059233
merged,MERGED-Isite-L0S0-E,beta_inc[6],-0.437311961710339,0.403774407122986,-1.24519659137692,-0.433793378923405,0.354931856757199
merged,MERGED-Isite-L0S0-E,delta0,8.9229266327386,0.597353109136351,7.96136663775603,8.85769167535356,10.2831664780239
merged,MERGED-Isite-L0S0-E,gamma0,0.703293079465429,0.429570394745568,0.0233454742422454,0.649576369671668,1.72874095642078
merged,MERGED-Isite-L0S0-E,gamma_lat[1],-0.293023183684048,0.290079953435361,-0.827835861581205,-0.302710730129513,0.319206099572213
merged,MERGED-Isite-L0S0-E,gamma_lat[2],0.643922866008661,0.384102273945027,-0.102066873626916,0.640053489161734,1.38192094063237
merged,MERGED-Isite-L0S0-LL,beta_inc[1],0.42825779888948,0.132627223372681,0.169583676744401,0.42774099402377,0.688930710645126
merged,MERGED-Isite-L0S0-LL,beta_inc[2],0.877361223359564,0.180014922157477,0.529680600321749,0.877309551174748,1.2281392660083
merged,MERGED-Isite-L0S0-LL,beta_inc[3],0.60581225244183,0.192394591779417,0.23494976507829,0.603079728361594,0.994869547515734
merged,MERGED-Isite-L0S0-LL,beta_inc[4],0.394513512170267,0.279594568611634,-0.168187248593045,0.397463321514212,0.942134037389199
merged,MERGED-Isite-L0S0-LL,beta_inc[5],0.0768803736254336,0.290478561198175,-0.497590304486051,0.0820434487923137,0.640889056342685
merged,MERGED-Isite-L0S0-LL,beta_inc[6],-0.0893442725286816,0.478472613183711,-1.02946897809479,-0.101853050590614,0.852098181066233
merged,MERGED-Isite-L0S0-LL,delta0,10.3780567748517,1.1581372243613,8.62087752157303,10.2007973324089,13.2546654982944
merged,MERGED-Isite-L0S0-LL,gamma0,2.14266936586274,0.729086706602217,0.572250616358241,2.21096876510588,3.42330754040475
merged,MERGED-Isite-L0S0-LL,gamma_lat[1],-0.329051402662948,0.441975891726957,-1.18138265118688,-0.341660573477627,0.550267915212332
merged,MERGED-Isite-L0S0-LL,gamma_lat[2],0.590243864291875,0.4755726886356,-0.304056150401832,0.583605774216599,1.53079757579422
merged,MERGED-Isite-L0S0-LL,psi_LL,0.312808622696703,0.138096763582192,0.0474583614205661,0.313648692834969,0.589795873295013
merged,MERGED-Isite-L0S0-LN,beta_inc[1],0.43132372930412,0.134790396991698,0.168668511738726,0.430578292299576,0.693562334894692
merged,MERGED-Isite-L0S0-LN,beta_inc[2],0.886981642815566,0.176922425537422,0.535363926187896,0.889484667401435,1.22501548807058
merged,MERGED-Isite-L0S0-LN,beta_inc[3],0.607588446588636,0.189774837645859,0.238304303589044,0.608063494315282,0.97065791661131
merged,MERGED-Isite-L0S0-LN,beta_inc[4],0.399282913571091,0.27589989745777,-0.148302886735078,0.404627260531591,0.927759213578715
merged,MERGED-Isite-L0S0-LN,beta_inc[5],0.0833352354643975,0.296197201276075,-0.485047780749832,0.0786043986633539,0.655140474910526
merged,MERGED-Isite-L0S0-LN,beta_inc[6],-0.0802907521172067,0.479426995503641,-0.980181966038478,-0.0925331272469247,0.897634448663928
merged,MERGED-Isite-L0S0-LN,delta0,10.3463887239664,1.10701647456904,8.67308461411559,10.2130713710567,12.9148175409908
merged,MERGED-Isite-L0S0-LN,gamma0,2.30970737072278,0.773640226417684,0.69025636536229,2.35660313683054,3.72926868385623
merged,MERGED-Isite-L0S0-LN,gamma_lat[1],-0.227668826365598,0.450972647395259,-1.09081905075489,-0.241675153611179,0.700632871184663
merged,MERGED-Isite-L0S0-LN,gamma_lat[2],0.627236631683436,0.481664121017779,-0.265624780014455,0.628480034888215,1.60118278817465
merged,MERGED-Isite-L0S0-LN,log_sigma_LN,0.943304171906548,0.132701508303662,0.668157250164317,0.948847623351339,1.19689966657639
merged,MERGED-Isite-L0S0-W,beta_inc[1],0.431253150158903,0.135687387261772,0.166732227159843,0.432282202425796,0.695832077540422
merged,MERGED-Isite-L0S0-W,beta_inc[2],0.871214243110479,0.176887726103265,0.523009874840772,0.871229644923612,1.22105836271149
merged,MERGED-Isite-L0S0-W,beta_inc[3],0.603684760709251,0.186545384067688,0.242656272053315,0.604683479699523,0.96627619321602
merged,MERGED-Isite-L0S0-W,beta_inc[4],0.372921208539492,0.28757738107736,-0.195466429612035,0.383808731898486,0.918288035855827
