dataset,model_id,parameter,mean,sd,rhat,ess_bulk,ess_tail
merged,MERGED-Isite-L0S0-E,beta_inc[1],0.412836939377474,0.129747507521129,0.999434493140341,3889.77882043371,2777.21134954142
merged,MERGED-Isite-L0S0-E,beta_inc[2],0.768824589043657,0.167953267207937,1.00047377365669,4289.38863913662,2853.40107992745
merged,MERGED-Isite-L0S0-E,beta_inc[3],0.623020984539431,0.182881776904073,0.99986809295328,4723.624324269,3012.52281343204
merged,MERGED-Isite-L0S0-E,beta_inc[4],0.130493643772749,0.272943756402621,1.00003350724891,3543.12271780893,2920.65502024343
merged,MERGED-Isite-L0S0-E,beta_inc[5],0.136835682651026,0.296731019101249,1.00044091816195,5160.38237514021,2888.34618807807
merged,MERGED-Isite-L0S0-E,beta_inc[6],-0.437311961710339,0.403774407122986,1.00075377970823,3808.2801908773,2609.70740981235
merged,MERGED-Isite-L0S0-E,delta0,8.9229266327386,0.597353109136351,1.00113972151112,1854.53982958002,1257.2060463547
merged,MERGED-Isite-L0S0-E,gamma0,0.703293079465429,0.429570394745568,1.00041454868977,2232.86355184315,1323.36663789437
merged,MERGED-Isite-L0S0-E,gamma_lat[1],-0.293023183684048,0.290079953435361,0.999747301262416,4596.13058332195,3039.62739902478
merged,MERGED-Isite-L0S0-E,gamma_lat[2],0.643922866008661,0.384102273945027,1.00091647282489,3631.56920002479,2912.02210620899
merged,MERGED-Isite-L0S0-LL,beta_inc[1],0.42825779888948,0.132627223372681,1.00050883257661,4105.0583440132,2408.70934868583
merged,MERGED-Isite-L0S0-LL,beta_inc[2],0.877361223359564,0.180014922157477,1.00026251140207,4246.30566773864,2990.51881322191
merged,MERGED-Isite-L0S0-LL,beta_inc[3],0.60581225244183,0.192394591779417,1.00028679534261,4640.34398411413,2585.76833630595
merged,MERGED-Isite-L0S0-LL,beta_inc[4],0.394513512170267,0.279594568611634,0.999809290136235,3930.16561617924,2751.94800686155
merged,MERGED-Isite-L0S0-LL,beta_inc[5],0.0768803736254336,0.290478561198175,1.00136316195301,4786.19575219764,2891.57628552662
merged,MERGED-Isite-L0S0-LL,beta_inc[6],-0.0893442725286816,0.478472613183711,1.00161560350367,4179.77924015385,3050.07800367172
merged,MERGED-Isite-L0S0-LL,delta0,10.3780567748517,1.1581372243613,1.00503309711269,1903.74630600136,2141.12488791093
merged,MERGED-Isite-L0S0-LL,gamma0,2.14266936586274,0.729086706602217,1.00179366914959,1743.90669220468,2420.28211503679
merged,MERGED-Isite-L0S0-LL,gamma_lat[1],-0.329051402662948,0.441975891726957,1.00298530906949,4100.54068243847,2951.86619591119
merged,MERGED-Isite-L0S0-LL,gamma_lat[2],0.590243864291875,0.4755726886356,1.00164672906596,3053.28033846153,2499.7905649763
merged,MERGED-Isite-L0S0-LL,psi_LL,0.312808622696703,0.138096763582192,1.00153153572096,2789.85300324677,2638.64448666944
merged,MERGED-Isite-L0S0-LN,beta_inc[1],0.43132372930412,0.134790396991698,0.999890060075132,5015.4228363129,3220.07534448122
merged,MERGED-Isite-L0S0-LN,beta_inc[2],0.886981642815566,0.176922425537422,1.00018575337821,4391.9988763775,2678.16871141981
merged,MERGED-Isite-L0S0-LN,beta_inc[3],0.607588446588636,0.189774837645859,1.0025863422956,5147.32170699778,2800.60251910506
merged,MERGED-Isite-L0S0-LN,beta_inc[4],0.399282913571091,0.27589989745777,1.00088095195153,4676.44441049762,3291.50059941543
merged,MERGED-Isite-L0S0-LN,beta_inc[5],0.0833352354643975,0.296197201276075,1.00014063709528,4153.16659694531,2669.98157473669
merged,MERGED-Isite-L0S0-LN,beta_inc[6],-0.0802907521172067,0.479426995503641,1.0004257446608,3956.62568578284,2965.89638754476
merged,MERGED-Isite-L0S0-LN,delta0,10.3463887239664,1.10701647456904,1.00115196108754,2286.71546108719,2260.41761005201
merged,MERGED-Isite-L0S0-LN,gamma0,2.30970737072278,0.773640226417684,1.0017920052072,2047.32843748086,2511.48405472759
merged,MERGED-Isite-L0S0-LN,gamma_lat[1],-0.227668826365598,0.450972647395259,0.999804895869516,4147.45412428412,2636.90662429261
merged,MERGED-Isite-L0S0-LN,gamma_lat[2],0.627236631683436,0.481664121017779,1.00241724776341,3576.35013111227,2765.71688710423
merged,MERGED-Isite-L0S0-LN,log_sigma_LN,0.943304171906548,0.132701508303662,1.00012727195688,2707.68687203875,2342.66714116762
merged,MERGED-Isite-L0S0-W,beta_inc[1],0.431253150158903,0.135687387261772,1.00199841158692,5740.1750763911,2766.18907025839
merged,MERGED-Isite-L0S0-W,beta_inc[2],0.871214243110479,0.176887726103265,1.00077811059977,4925.54768868443,3005.04613384034
merged,MERGED-Isite-L0S0-W,beta_inc[3],0.603684760709251,0.186545384067688,1.00153117053521,6473.6130747017,2825.77682645917
merged,MERGED-Isite-L0S0-W,beta_inc[4],0.372921208539492,0.28757738107736,0.999919825513574,4686.15390147958,2968.84711904933
merged,MERGED-Isite-L0S0-W,beta_inc[5],0.0873410197013478,0.306044188399206,1.00106657808975,5661.77131594104,3145.5966583672
merged,MERGED-Isite-L0S0-W,beta_inc[6],-0.11566151158774,0.475435926254079,0.99985342902782,4445.45350470414,2977.53176757879
merged,MERGED-Isite-L0S0-W,delta0,10.1871660075627,1.15102678741038,1.000971919946,2422.85894154822,2212.11658379442
merged,MERGED-Isite-L0S0-W,gamma0,1.90804795384558,0.737030955419532,1.00099096201929,2100.40553950445,2701.91228595565
merged,MERGED-Isite-L0S0-W,gamma_lat[1],-0.315826397233332,0.422968227467504,1.00008647343486,3923.94514822994,2798.82967627972
merged,MERGED-Isite-L0S0-W,gamma_lat[2],0.577760968447226,0.463680099744762,1.00043103487315,3399.58018029647,2902.54298385922
merged,MERGED-Isite-L0S0-W,rho_W,-0.403821745585013,0.132336536811444,1.00163252731498,3772.15426249163,3034.58905575876
merged,MERGED-Isite-L0S1-E,beta_inc[1],0.421624622154964,0.134035461113405,1.00023903170148,5436.51436671826,2895.85933487211
merged,MERGED-Isite-L0S1-E,beta_inc[2],0.827085119385538,0.181133717146874,1.00099803672201,4470.10303288697,3031.07838287201
merged,MERGED-Isite-L0S1-E,beta_inc[3],0.617722037972096,0.182639265843256,1.00050020103308,6825.31030673002,3040.93887579451
merged,MERGED-Isite-L0S1-E,beta_inc[4],0.268037767853018,0.29423045301176,1.00044002549354,3604.41763456064,2978.96630579163
merged,MERGED-Isite-L0S1-E,beta_inc[5],0.116040782768757,0.290468418577632,1.00175876734527,5160.98747888408,2811.61601618864
merged,MERGED-Isite-L0S1-E,beta_inc[6],0.0322748060237043,0.462766960047885,1.00204403532965,4347.55959119902,3230.86489261603
merged,MERGED-Isite-L0S1-E,delta0,9.36737723803247,1.17712366580376,1.00267343630119,1803.00254886383,2096.94477542635
merged,MERGED-Isite-L0S1-E,gamma0,0.38550623048751,0.636547362087253,1.00163639259332,1849.8088062147,2989.54769409009
merged,MERGED-Isite-L0S1-E,gamma_lat[1],-0.0674872492552037,0.322092945403271,1.00174195561781,3614.86389208822,3076.40009470325
merged,MERGED-Isite-L0S1-E,gamma_lat[2],0.458403871499039,0.378886880653484,0.999592310879223,3659.32177347746,2991.84624059768
merged,MERGED-Isite-L0S1-E,gamma_lat[3],1.09622194954654,0.46397798461681,1.00054775600993,3529.58958642871,3078.61806501171
merged,MERGED-Isite-L0S1-LL,beta_inc[1],0.427640059589387,0.131391790592472,1.00025408639126,5800.99923946534,2853.92959623919
merged,MERGED-Isite-L0S1-LL,beta_inc[2],0.890024253383267,0.180192224246256,1.00116766731586,5316.31493799657,2731.59475139867
merged,MERGED-Isite-L0S1-LL,beta_inc[3],0.605091779529739,0.184447982752142,1.00281242390948,4998.01699548626,2916.44577098115
merged,MERGED-Isite-L0S1-LL,beta_inc[4],0.412675905081893,0.280091841979258,1.00037738724083,4832.72407986415,3060.48371535262
merged,MERGED-Isite-L0S1-LL,beta_inc[5],0.0727690119261518,0.296679860616507,1.00001143780998,4771.15846789801,2827.00441259139
merged,MERGED-Isite-L0S1-LL,beta_inc[6],0.119009559346032,0.478135947361296,1.00056445535085,5389.49020137458,2996.28208967791
merged,MERGED-Isite-L0S1-LL,delta0,10.4522795309323,1.22548075818991,1.00139058886986,2828.23042743006,2285.70560807397
merged,MERGED-Isite-L0S1-LL,gamma0,1.40459992663187,0.723868007832154,1.00489123864727,2846.13223134214,2843.58406915636
merged,MERGED-Isite-L0S1-LL,gamma_lat[1],-0.139580368394979,0.420293106375226,1.00160586013347,4217.18552610638,2916.1756137222
merged,MERGED-Isite-L0S1-LL,gamma_lat[2],0.435609346401172,0.451873181501465,1.00096943750323,3839.05163791593,2762.18499127229
merged,MERGED-Isite-L0S1-LL,gamma_lat[3],1.09585714543357,0.502478794917343,1.0034556927016,4405.82403908351,3093.04433014176
merged,MERGED-Isite-L0S1-LL,psi_LL,0.276794568108372,0.134569315296347,1.00233882599966,3799.97051068118,2918.1970125332
merged,MERGED-Isite-L0S1-LN,beta_inc[1],0.42789163926696,0.130125528547539,1.00068192810549,4200.79975386932,2975.38796093315
merged,MERGED-Isite-L0S1-LN,beta_inc[2],0.894717436659038,0.172890824685313,0.999535958090847,4277.54979637922,2528.33990161291
merged,MERGED-Isite-L0S1-LN,beta_inc[3],0.605701375409151,0.193672993061467,0.999912653677567,4136.96182747079,2390.14461805657
merged,MERGED-Isite-L0S1-LN,beta_inc[4],0.413933000310598,0.28051558863029,1.00141406654768,3797.75167090382,2944.58214856977
merged,MERGED-Isite-L0S1-LN,beta_inc[5],0.0783074583904511,0.296206575987882,1.00009135212096,4401.00030029599,3104.82917420358
