dataset,model_id,metric,horizon_year,mean__main,q025__main,q975__main,mean__wider_latency,q025__wider_latency,q975__wider_latency,delta_mean_wider_minus_main,prior_degenerate_flag__main,prior_tail_warning_flag__main,prior_degenerate_flag__wider_latency,prior_tail_warning_flag__wider_latency,prior_tail_warning_flag_any
merged,MERGED-Isite-L0S0-E,LNTF,NA,0.983369050701045,0.82773365294401,0.999999903087978,0.978221666691459,0.697863149236531,0.999999810406355,-0.00514738400958592,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_cure_probability,NA,0.983369050701045,0.82773365294401,0.999999903087978,0.978221666691459,0.697863149236531,0.999999810406355,-0.00514738400958592,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_risk,1,0.00668040575928091,1.69003000756271e-8,0.069690716179571,0.0113558548777781,7.78782960894217e-9,0.115173722865007,0.00467544911849719,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_risk,2,0.00799026460685844,2.91681617139125e-8,0.0923417881878883,0.0126059212219174,1.54555716457355e-8,0.115689165091484,0.00461565661505896,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_risk,5,0.00967997687035689,5.48584216975288e-8,0.130126779825526,0.0141343942131181,2.92600033460702e-8,0.116110973382828,0.004454417342761209,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_risk,10,0.0109270536547728,7.5207381880864e-8,0.148617792445889,0.0152300572459564,4.66729678291247e-8,0.131338677868136,0.0043030035911836,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_mean_susceptible_probability,NA,0.0166309492989555,9.69120204869374e-8,0.172266347055988,0.0217783333085407,1.89593646274247e-7,0.302136850763467,0.005147384009585202,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-E,cohort_median_susceptible_time,NA,27.0495531309747,0.00459021520388843,154.752787738005,389.602388028259,0.00144130188803773,1399.5903562128,362.5528348972843,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S0-LL,LNTF,NA,0.982000766303691,0.815329754846775,0.999999789329579,0.984857621297543,0.827837358720931,0.999999763974693,0.0028568549938519094,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_cure_probability,NA,0.982000766303691,0.815329754846775,0.999999789329579,0.984857621297543,0.827837358720931,0.999999763974693,0.0028568549938519094,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_risk,1,0.0087620507964791,1.3654085126965202e-9,0.073818985785628,0.00644599942242973,7.784178306176951e-15,0.070438648522042,-0.00231605137404937,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_risk,2,0.0101140956206143,6.019516666822581e-9,0.0953382517257565,0.00747194378780836,4.3000219585201605e-14,0.081941039941037,-0.0026421518328059394,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_risk,5,0.0119728568031416,2.73843350125377e-8,0.121119281458563,0.00877748620597154,3.93906061013469e-10,0.101160350585298,-0.003195370597170061,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_risk,10,0.0133248797019757,6.26612992372053e-8,0.12654725739357,0.00980718495032268,2.5143367566947404e-9,0.111902503686985,-0.0035176947516530194,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_mean_susceptible_probability,NA,0.0179992336963091,2.10670420708545e-7,0.184670245153227,0.0151423787024575,2.36025307801316e-7,0.172162641279068,-0.0028568549938516007,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LL,cohort_median_susceptible_time,NA,26.862453693088,0.00741955108298784,188.298281408689,157.295532933659,0.00148096537175326,926.191953595941,130.43307924057098,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S0-LN,LNTF,NA,0.983671295252402,0.81582516361726,0.999999570071866,0.981335955629602,0.814409518178589,0.999999837314245,-0.002335339622800081,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_cure_probability,NA,0.983671295252402,0.81582516361726,0.999999570071866,0.981335955629602,0.814409518178589,0.999999837314245,-0.002335339622800081,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,1,0.0073918963836668,2.0538596269007902e-15,0.0786106380728756,0.00846005517939367,4.64535110971499e-17,0.0759151846532453,0.0010681587957268694,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,2,0.00917393193490584,8.71691173441466e-13,0.100234553681126,0.0096463975255602,3.41531298577199e-16,0.0950373627970971,4.7246559065436053e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,5,0.0115795949316019,5.9374581810210805e-9,0.120555712916213,0.011322132290914,3.05521829209889e-14,0.108582940036215,-2.5746264068790027e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,10,0.0132113823322869,1.06310247697722e-7,0.139132244831373,0.0124753786534682,5.38774170527824e-12,0.142227498138646,-7.360036788186999e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_mean_susceptible_probability,NA,0.0163287047475978,4.2992813391513e-7,0.184174836382743,0.0186640443703979,1.62685754612195e-7,0.18559048182141,0.002335339622800102,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-LN,cohort_median_susceptible_time,NA,13.3369472453143,0.00569569411205497,92.9217192348182,217.471261578201,0.00135913967213746,1447.5518249751,204.1343143328867,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S0-W,LNTF,NA,0.974536360458556,0.71428338736421,0.99999979463835,0.976410738784596,0.688146120106657,0.999999723748019,0.0018743783260400937,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_cure_probability,NA,0.974536360458556,0.71428338736421,0.99999979463835,0.976410738784596,0.688146120106657,0.999999723748019,0.0018743783260400937,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,1,0.0109443314303294,6.70015295821339e-10,0.116272138929871,0.00941610328649797,8.94072252619718e-13,0.0781863665676447,-0.0015282281438314307,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,2,0.0128857292713413,1.39135013377002e-8,0.166007363747418,0.0106407266926606,2.48516359007693e-10,0.0892352568864903,-0.0022450025786807,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,5,0.0167349652648567,4.59736819665971e-8,0.247000258994536,0.0121277862530852,2.82656915052769e-8,0.0989891593929052,-0.0046071790117715,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,10,0.0185832625880508,8.8506592369492e-8,0.264269898668687,0.0133495891170894,6.90957128373239e-8,0.114763672899094,-0.0052336734709613995,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_mean_susceptible_probability,NA,0.0254636395414442,2.05361651111753e-7,0.28571661263579,0.023589261215404,2.76251984114877e-7,0.311853879893344,-0.0018743783260402012,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S0-W,cohort_median_susceptible_time,NA,68.6491701387258,0.00550213109763932,397.436543247619,135.722552497412,7.99459995229997e-4,1157.48208831265,67.07338235868622,FALSE,TRUE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S1-E,LNTF,NA,0.986962975001233,0.877113913079492,0.999999710571271,0.98634938393729,0.884976221710372,0.999999724995711,-6.135910639429865e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_cure_probability,NA,0.986962975001233,0.877113913079492,0.999999710571271,0.98634938393729,0.884976221710372,0.999999724995711,-6.135910639429865e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,1,0.00692424418685292,4.80929053647954e-8,0.0570535097008646,0.00923859281592525,1.84330006469012e-8,0.052259396602309,0.0023143486290723297,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,2,0.00814131848873046,7.8449530074027e-8,0.0750201723244818,0.00995978305024499,3.10114480158575e-8,0.0564644449975892,0.0018184645615145299,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,5,0.00954375455046856,1.31898918831369e-7,0.083152720152409,0.0107462132056705,5.32339390994075e-8,0.057357308068968,0.0012024586552019413,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,10,0.010418030073384,1.57226756042827e-7,0.10374903003224,0.0112266298893428,7.15596453215537e-8,0.0576751446098963,8.085998159587989e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_mean_susceptible_probability,NA,0.0130370249987671,2.89428731273133e-7,0.122886086920509,0.0136506160627104,2.75004289884362e-7,0.115023778289631,6.135910639433004e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-E,cohort_median_susceptible_time,NA,67.959184050309,0.00510582564906441,294.067922011892,155.143770465339,3.93736964713904e-4,976.031026745482,87.18458641503,FALSE,TRUE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S1-LL,LNTF,NA,0.984026964711699,0.804316080540583,0.999999902581072,0.984390874694717,0.843324407761378,0.999999810698629,3.639099830179404e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_cure_probability,NA,0.984026964711699,0.804316080540583,0.999999902581072,0.984390874694717,0.843324407761378,0.999999810698629,3.639099830179404e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_risk,1,0.00803189115548054,4.785154025248401e-10,0.0959084604808267,0.00656120897826164,1.36601312322695e-12,0.0468395386694258,-0.0014706821772188993,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_risk,2,0.00943260452598271,5.30416520577217e-9,0.121294874888391,0.00734546193282953,1.58554690327064e-10,0.0680701570880913,-0.0020871425931531795,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_risk,5,0.010921963177126,2.81924041333466e-8,0.148707175579025,0.00832021827092633,5.931690258992611e-9,0.0840652553743279,-0.0026017449061996687,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_risk,10,0.0117881774943228,3.9236070984339e-8,0.156163612135315,0.00913764041573947,2.19514711860271e-8,0.0875138964400705,-0.0026505370785833305,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LL,cohort_mean_susceptible_probability,NA,0.0159730352883009,9.7418925805174e-8,0.195683919459416,0.0156091253052833,1.89301373133506e-7,0.156675592238622,-3.639099830176004e-4,FALSE,FALSE,FALSE,FALSE,FALSE
