dataset,model_id,structural_model_id,latency_family,family_code,formula_anchor,incidence_site_indicator,latency_site_indicator,latency_interaction_indicator,is_supplementary_branch,fit_status,fit_error_message,admissible_flag,admissibility_reasons,prior_degenerate_flag,posterior_degenerate_flag,ppc_gross_contradiction_flag,divergences,max_rhat,min_bulk_ess,min_tail_ess,treedepth_exceeded,waic,looic,p_waic,p_waic_high_n,p_waic_high_pct,p_loo,pareto_k_max,pareto_k_bad_n,pareto_k_bad_pct,pareto_k_very_bad_n,waic_warning_flag,loo_warning_flag,info_criteria_warning_detail,n,n_event,n_censor_main,n_remission,screening_flag,screening_detail,cohort_mean_cure_fraction_mean,cohort_mean_cure_fraction_q025,cohort_mean_cure_fraction_q50,cohort_mean_cure_fraction_q975,rds_path,fit_reused_flag,prior_tail_warning_flag_main,prior_tail_warning_detail_main,prior_tail_warning_flag_wider_latency,prior_tail_warning_detail_wider_latency,prior_tail_warning_flag_any,prior_tail_warning_detail_any,prior_tail_warning_flag,prior_tail_warning_detail
merged,MERGED-Isite-L1S0-LN,MERGED-Isite-L1S0,lognormal,LN,interaction,TRUE,FALSE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0018637895656477,1821.610555693644,2152.5511526030505,0,366.72079987309513,366.7584171533233,4.357989206601855,0,0,4.3767978467159026,0.3744910594305352,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_free:equivocal,0.22355762252396097,0.01352479553510302,0.20958365134506635,0.5299324258459593,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S0-LN__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S0-W,MERGED-Isite-L1S0,weibull,W,interaction,TRUE,FALSE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0026435241740703,1793.821058680547,2096.0816984397147,0,368.2615342889613,368.3076225508477,4.799693096115137,0,0,4.822737227058331,0.37272780740677497,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_free:equivocal,0.2591873430092711,0.00930823705707606,0.23027836418754985,0.627077670841469,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S0-W__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-E,MERGED-Isite-L1S1,exponential,E,site_interaction,TRUE,TRUE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0029029370889049,1848.729643090557,2272.8942022619353,0,372.2779279575228,372.4357121314649,7.016066649697224,0,0,7.094958736668343,0.688317506189507,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_adjusted:equivocal,0.402282575994033,0.02766716588482718,0.4360996726106397,0.6897832112204391,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S1-E__bayes_stage8_fit.rds,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-LL,MERGED-Isite-L1S1,loglogistic,LL,site_interaction,TRUE,TRUE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0026238131114704,2906.6127560560603,2194.9749718797902,0,363.31333152968585,363.35654752168745,5.057184195910306,0,0,5.078792191911181,0.2968072297423715,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_adjusted:equivocal,0.19367393458474436,0.00878473424840221,0.16868573805169754,0.5217851439823815,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S1-LL__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-LN,MERGED-Isite-L1S1,lognormal,LN,site_interaction,TRUE,TRUE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.003762312983011,2153.548154240381,2373.606395951059,0,362.6310687988542,362.6869244378013,4.889038212603487,0,0,4.9169660320773465,0.35071991782745743,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_adjusted:equivocal,0.19223453309273625,0.01723366201036301,0.16101332145736047,0.498346607418016,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S1-LN__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L1S1-W,MERGED-Isite-L1S1,weibull,W,site_interaction,TRUE,TRUE,TRUE,TRUE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0042001959461468,2584.031998337817,2363.9610206127018,0,363.8435122380443,363.8837385225313,5.259038329582467,0,0,5.2791514718260375,0.3182166717459776,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_adjusted:equivocal,0.20795675585236312,0.00877756162365137,0.17636819017691635,0.5551785975722888,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-Isite-L1S1-W__bayes_stage8_fit.rds,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-L0S0-E,MERGED-L0S0,exponential,E,base,FALSE,FALSE,FALSE,FALSE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0042428821705234,1258.8999878138395,860.8126446109077,0,375.77078721106534,375.88366552700546,5.215284883245349,1,0.3816793893129771,5.271724041215603,0.5459751625733188,0,0,0,TRUE,FALSE,"
1 (0.4%) p_waic estimates greater than 0.4. We recommend trying loo instead.",262,50,212,13,equivocal,stage6_site_free:equivocal,0.5407480890496372,0.20153659669983304,0.5679385963624566,0.7243905607146023,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-L0S0-E__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-L0S0-LL,MERGED-L0S0,loglogistic,LL,base,FALSE,FALSE,FALSE,FALSE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.002125336946922,1687.150878943166,2278.3409355219414,0,366.92549421925605,366.94940516004306,3.961518859156188,0,0,3.973474329549577,0.33266479397978543,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_free:equivocal,0.22779650998911471,0.01282689935707603,0.19756279091689444,0.5696480544761531,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-L0S0-LL__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-L0S0-LN,MERGED-L0S0,lognormal,LN,base,FALSE,FALSE,FALSE,FALSE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.002711622119427,1852.131483230939,1720.0436969386708,0,366.1161822606935,366.14649447314423,3.838751590074644,0,0,3.853907696300016,0.2550556646081648,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_free:equivocal,0.2299573140421732,0.01274565580243042,0.20147068801485696,0.5583102969826621,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-L0S0-LN__bayes_stage8_fit.rds,TRUE,FALSE,NA,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-L0S0-W,MERGED-L0S0,weibull,W,base,FALSE,FALSE,FALSE,FALSE,ok,NA,TRUE,NA,FALSE,FALSE,FALSE,0,1.0041206906667406,1929.254497088174,2167.3300342762723,0,367.7449221846278,367.7755376770291,4.120393894414788,0,0,4.135701640615456,0.3110666675423256,0,0,0,FALSE,FALSE,NA,262,50,212,13,equivocal,stage6_site_free:equivocal,0.2612185430855919,0.01536566630057375,0.239643605316548,0.5987266468031844,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage8_베이지안 방법/attachments/MERGED-L0S0-W__bayes_stage8_fit.rds,TRUE,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.; Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
