dataset,n,n_event,n_censor_main,n_remission,mean_age_exact_entry,prop_male
PNU,54,12,42,13,24.869387955962548,0.5185185185185185
SNU,208,38,170,0,21.21065221084029,0.6826923076923077
merged,262,50,212,13,21.964742784262434,0.648854961832061
