dataset,model_id,metric,horizon_year,prior_set,mean,q025,q50,q975,prior_degenerate_flag,sd,prior_tail_warning_flag,prior_tail_warning_detail
merged,MERGED-Isite-L0S0-LL,cohort_mean_susceptible_probability,NA,main,0.0179992336963091,2.10670420708545e-7,2.33265332241297e-4,0.184670245153227,FALSE,0.08250460557509577,FALSE,NA
merged,MERGED-Isite-L0S0-LL,cohort_mean_susceptible_probability,NA,wider_latency,0.0151423787024575,2.36025307801316e-7,1.76718602561903e-4,0.172162641279068,FALSE,0.06140967968594129,FALSE,NA
merged,MERGED-Isite-L0S0-LL,cohort_median_susceptible_time,NA,main,26.862453693088,0.00741955108298784,1.15617164736567,188.298281408689,FALSE,163.08622534286894,FALSE,NA
merged,MERGED-Isite-L0S0-LL,cohort_median_susceptible_time,NA,wider_latency,157.295532933659,0.00148096537175326,1.06539526044003,926.191953595941,FALSE,1398.0067278263753,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S0-LN,LNTF,NA,main,0.983671295252402,0.81582516361726,0.99974427018427,0.999999570071866,FALSE,0.07070391641294528,FALSE,NA
merged,MERGED-Isite-L0S0-LN,LNTF,NA,wider_latency,0.981335955629602,0.814409518178589,0.999779689201258,0.999999837314245,FALSE,0.08156943811796237,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_cure_probability,NA,main,0.983671295252402,0.81582516361726,0.99974427018427,0.999999570071866,FALSE,0.07070391641294528,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_cure_probability,NA,wider_latency,0.981335955629602,0.814409518178589,0.999779689201258,0.999999837314245,FALSE,0.08156943811796237,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,1,main,0.0073918963836668,2.0538596269007902e-15,5.490700746145e-5,0.0786106380728756,FALSE,0.03539252717861754,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,2,main,0.00917393193490584,8.71691173441466e-13,7.98711828696868e-5,0.100234553681126,FALSE,0.04295703611312587,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,5,main,0.0115795949316019,5.9374581810210805e-9,1.26674218145666e-4,0.120555712916213,FALSE,0.0548885126362375,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,10,main,0.0132113823322869,1.06310247697722e-7,1.67844233495849e-4,0.139132244831373,FALSE,0.06236975812098994,FALSE,NA
