dataset,analysis_view,source_block,model_name,formula_rhs,horizon_year,window_year,result_type,site_counterfactual,contrast_direction,interval_label,estimate,conf_low,conf_high,n_risk,max_followup_years,available_within_observed_followup,bootstrap_success,bootstrap_iterations,bootstrap_success_rate,bootstrap_instability_flag,bootstrap_note,estimable_flag,availability_note,support_issue_reason,analysis_subject_n_total,analysis_transition_events_total,at_risk_subject_n_total,transition_events_total,pnu_event_n,snu_event_n,support_label,support_priority,primary_supported_flag,common_restricted_window_flag,support_basis,reported_estimate_suppressed_flag,output_label,reporting_status,plotting_status,plot_inclusion_flag,reporting_note
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,site_standardized_risk,PNU,NA,NA,0.2813764308034286,0.13718513623105222,0.4197084477012424,135,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,site_standardized_risk,SNU,NA,NA,0.12593817042505392,0.06989580551023966,0.17256031363123103,135,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_free_observed,observed_km_restricted,KM,NA,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.09710423410634217,-0.013468480279922554,0.2231035444423403,191,2.6694045174537986,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,within_observed_followup,NA,262,50,191,22,8,14,primary_supported,primary,TRUE,TRUE,separate_cohort_observed_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,within_observed_followup
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1070292396073186,0.0032982921845088283,0.24530249580219515,191,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,191,22,8,14,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.11090200852481076,0.0018952500658574404,0.26626950499478463,191,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,191,22,8,14,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_free_observed,observed_km_restricted,KM,NA,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.17728980862716692,0.019145334474297834,0.3308998075552655,135,2.6694045174537986,TRUE,202,300,0.6733333333333333,TRUE,bootstrap_success_below_0.90,TRUE,within_observed_followup,NA,262,50,135,34,12,22,sensitivity,sensitivity,FALSE,TRUE,separate_cohort_observed_support,FALSE,supported_short_horizon_contrast,reported_with_bootstrap_instability_flag,bootstrap_unstable,TRUE,bootstrap_success_below_0.90
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1442735931873426,-0.006155968329228785,0.300468695354908,135,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1554382603783747,-1.8031359253705206e-4,0.31611678958637723,135,10.105407255304586,TRUE,300,300,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary,TRUE,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted,merged_piecewise_cox,piecewise_site_added,age_s + sex_num,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.4381560248203852,0.17782608838231295,1.0795980715363747,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_interaction,age_s + sex_num + age_s:sex_num,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.41573285781715874,0.1688809272419403,1.0234063247486715,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_comparison_unadjusted,merged_piecewise_cox,piecewise_unadjusted,NA,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.3901186777780292,0.16419130332893553,0.9269223135794235,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_added,age_s + sex_num,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.28652130640024404,0.08809941500385628,0.9318388665544384,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_interaction,age_s + sex_num + age_s:sex_num,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.27891105672005567,0.08656120523751783,0.8986863959119337,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_comparison_unadjusted,merged_piecewise_cox,piecewise_unadjusted,NA,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.26992364293509136,0.0835699950863834,0.8718293322865356,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
