dataset,analysis_view,source_block,interval_label,interval_start_year,interval_end_year,pnu_subject_n,snu_subject_n,pnu_event_n,snu_event_n,pnu_person_years,snu_person_years,at_risk_subject_n_total,transition_events_total,person_years_total,estimable_flag,support_issue_reason,support_label,support_priority,primary_supported_flag,common_restricted_window_flag,support_basis,output_label
merged,site_adjusted,merged_piecewise_interval_support,0-1,0,1,54,208,8,14,37.12525667351128,179.1204654346338,262,22,216.24572210814506,TRUE,NA,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,supported_short_horizon_contrast
merged,site_adjusted,merged_piecewise_interval_support,1-2,1,2,28,163,4,8,16.918548939082825,145.27926078028742,191,12,162.19780971937024,TRUE,NA,primary_supported,primary,TRUE,TRUE,merged_piecewise_interval_support,supported_short_horizon_contrast
merged,site_adjusted,merged_piecewise_interval_support,>2,2,NA,1,134,0,16,0.6694045174537986,411.3894592744696,135,16,412.0588637919234,FALSE,zero_or_sparse_site_events;site_subjects_below_5,projection,projection,FALSE,FALSE,merged_piecewise_interval_support,late_horizon_tail_contrast
