dataset,analysis_view,model_name,horizon_year,survival,risk,risk_conf_low,risk_conf_high,n_risk,cumulative_transition_n,cumulative_main_censor_n,cumulative_remission_n,max_followup_years,available_within_observed_followup,estimable_flag,availability_note,interpretation_tier,interpretation_note,support_label,support_priority,primary_supported_flag,common_restricted_window_flag,support_basis,output_label
merged,site_free_observed,KM,1,0.9084798391681723,0.09152016083182768,0.05416428273259055,0.12740066471640032,191,22,49,3,10.105407255304586,TRUE,TRUE,within_observed_followup,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary,TRUE,TRUE,merged_pooled_observed_support,supported_short_horizon_contrast
merged,site_free_observed,KM,2,0.8465727946330851,0.1534272053669149,0.10391051697811726,0.20020766877433593,135,34,93,12,10.105407255304586,TRUE,TRUE,within_observed_followup,primary-supported,Common comparison horizon retained for cross-model comparability.,primary_supported,primary,TRUE,TRUE,merged_pooled_observed_support,supported_short_horizon_contrast
merged,site_free_observed,KM,3,0.8012041012263359,0.1987958987736641,0.14071534824595489,0.2529506834416948,117,41,104,13,10.105407255304586,TRUE,TRUE,within_observed_followup,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,4,0.7872637368277092,0.21273626317229077,0.15218962990014673,0.2689589403690217,103,43,119,13,10.105407255304586,TRUE,TRUE,within_observed_followup,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,5,0.76086633342323,0.23913366657677004,0.17276351151345049,0.30017886614738865,64,46,152,13,10.105407255304586,TRUE,TRUE,within_observed_followup,secondary,Common comparison horizon retained for cross-model comparability.,secondary,secondary,FALSE,FALSE,merged_pooled_observed_support,late_horizon_tail_contrast
merged,site_free_observed,KM,6,0.7257739658439615,0.2742260341560385,0.19230623932469626,0.3478371690571638,30,48,184,13,10.105407255304586,TRUE,TRUE,within_observed_followup,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,7,0.7257739658439615,0.2742260341560385,0.19230623932469626,0.3478371690571638,22,48,192,13,10.105407255304586,TRUE,TRUE,within_observed_followup,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,8,0.6493767062814392,0.3506232937185608,0.21656234660101548,0.46174388627939145,16,50,200,13,10.105407255304586,TRUE,TRUE,within_observed_followup,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,9,0.6493767062814392,0.3506232937185608,0.21656234660101548,0.46174388627939145,3,50,209,13,10.105407255304586,TRUE,TRUE,within_observed_followup,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,FALSE,FALSE,merged_pooled_observed_support,stage4_context_only
merged,site_free_observed,KM,10,0.6493767062814392,0.3506232937185608,0.21656234660101548,0.46174388627939145,1,50,211,13,10.105407255304586,TRUE,TRUE,within_observed_followup,projection,Projection zone; later stages must report late-horizon instability explicitly.,projection,projection,FALSE,FALSE,merged_pooled_observed_support,late_horizon_tail_contrast
