dataset,analysis_view,source_block,model_name,formula_rhs,horizon_year,window_year,result_type,site_counterfactual,contrast_direction,interval_label,estimate,conf_low,conf_high,n_risk,max_followup_years,available_within_observed_followup,bootstrap_success,bootstrap_iterations,bootstrap_success_rate,bootstrap_instability_flag,bootstrap_note,estimable_flag,availability_note,support_issue_reason,analysis_subject_n_total,analysis_transition_events_total,at_risk_subject_n_total,transition_events_total,pnu_event_n,snu_event_n,support_tier,support_label,support_priority,primary_supported_flag,horizon_evidence_class,claim_restriction_flag,common_restricted_window_flag,support_basis,reported_estimate_suppressed_flag,output_label,reporting_status,plotting_status,plot_inclusion_flag,reporting_note
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,2,2,site_standardized_risk,PNU,NA,NA,0.2725980969694499,0.13867139862979622,0.41270207412143267,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,2,2,site_standardized_risk,SNU,NA,NA,0.12832450378210733,0.08092677783769638,0.17914815796467198,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,site_standardized_risk,PNU,NA,NA,0.2813764308034286,0.1488464433595351,0.4355969210023533,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,site_standardized_risk,SNU,NA,NA,0.12593817042505392,0.07580507450037272,0.17731767859936307,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_free_observed,observed_km_restricted,KM,NA,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.09710423410634217,-0.008302339964049327,0.22187967986452808,191,2.6694045174537986,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,within_observed_followup,NA,262,50,191,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,separate_cohort_observed_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,within_observed_followup
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1070292396073186,-0.0031564600053097,0.24398108969226745,191,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,191,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,1,1,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.11090200852481076,-0.0036768435719056083,0.26051840356745004,191,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,191,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_free_observed,observed_km_restricted,KM,NA,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.17728980862716692,0.02210664322224835,0.3315279898415716,135,2.6694045174537986,TRUE,636,1000,0.636,TRUE,bootstrap_success_below_0.90,TRUE,within_observed_followup,NA,262,50,135,34,12,22,sensitivity,sensitivity,sensitivity,FALSE,partly_model_dependent,secondary_or_sensitivity_only,TRUE,separate_cohort_observed_support,FALSE,supported_short_horizon_contrast,reported_with_bootstrap_instability_flag,bootstrap_unstable,TRUE,bootstrap_success_below_0.90
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_added,age_s + sex_num + site,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1442735931873426,0.00296280432436634,0.2981160832896918,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
PNU_vs_SNU,site_adjusted_standardized,merged_restricted_cox_standardized,restricted_site_interaction,age_s + sex_num + age_s:sex_num + site,2,2,absolute_risk_difference,NA,PNU_minus_SNU,NA,0.1554382603783747,0.01589003426486737,0.3213682010721104,135,10.105407255304586,TRUE,1000,1000,1,FALSE,bootstrap_success_acceptable,TRUE,model_estimated,NA,262,50,135,34,12,22,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_restricted_window_model_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,model_estimated
merged,site_adjusted,merged_piecewise_cox,piecewise_site_added,age_s + sex_num,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.4381560248203851,0.17782608838231292,1.0795980715363744,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_interaction,age_s + sex_num + age_s:sex_num,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.4157328578171602,0.16888092724194068,1.0234063247486769,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_comparison_unadjusted,merged_piecewise_cox,piecewise_unadjusted,NA,1,1,hazard_ratio,NA,SNU_vs_PNU,0-1,0.3901186777780292,0.16419130332893553,0.9269223135794232,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,262,22,8,14,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_added,age_s + sex_num,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.2865213064002439,0.08809941500385624,0.9318388665544376,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_adjusted,merged_piecewise_cox,piecewise_site_interaction,age_s + sex_num + age_s:sex_num,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.2789110567200553,0.08656120523751779,0.8986863959119317,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
merged,site_comparison_unadjusted,merged_piecewise_cox,piecewise_unadjusted,NA,2,2,hazard_ratio,NA,SNU_vs_PNU,1-2,0.26992364293509136,0.0835699950863834,0.8718293322865356,NA,10.105407255304586,TRUE,NA,NA,NA,NA,NA,TRUE,interval_support_adequate,NA,262,50,191,12,4,8,primary_supported,primary_supported,primary,TRUE,directly_observed_data_supported,primary_claim_allowed,TRUE,merged_piecewise_interval_support,FALSE,supported_short_horizon_contrast,reported,stable,TRUE,interval_support_adequate
