dataset,n_total,n_event,n_censor_main,tau_year,largest_event_time_year,plateau_length_year,km_tail_survival,km_tail_noncure,selected_model_type,selected_family,selected_aic,analysis_time_year,cure_fraction_hat,receus_ratio_hat,receus_pi_threshold,receus_r_threshold,receus_primary_flag,screening_note,latency_family,d_n,p_value,contextual_signal_flag,contextual_note,xie_statistic,xie_bootstrap_p_value,xie_contradiction_flag,xie_method_label,xie_interpretation_note,block5_screening_class,block5_screening_note
PNU,54,12,42,2.6694045174537986,1.3388090349075976,1.330595482546201,0.7011810830846984,0.2988189169153016,noncure,lognormal,61.215645442738115,2.6694045174537986,0,NA,0.025,0.05,unsupportive,"Prespecified lognormal comparison selected the non-cure lognormal model, so the main-model-family RECeUS screen is unsupportive by construction.",exponential,1.6387217394104994,0.10025047040715997,FALSE,Exponential working-model Maller-Zhou boundary test is not positive and remains contextual only.,0.00537443346036714,0.296,FALSE,legacy_stage6_centered_bootstrap,Legacy Stage 6 Xie bootstrap output does not indicate a contradiction signal against sufficient follow-up.,primary_unsupportive,Main-model-family lognormal RECeUS screen is unsupportive; Xie and Maller-Zhou remain secondary/contextual.
SNU,208,38,170,10.105407255304586,7.572895277207392,2.532511978097194,0.6735500327419994,0.3264499672580006,noncure,lognormal,298.37203296777744,10.105407255304586,0,NA,0.025,0.05,unsupportive,"Prespecified lognormal comparison selected the non-cure lognormal model, so the main-model-family RECeUS screen is unsupportive by construction.",exponential,4.245561442540122,0.019676527852077966,TRUE,"Exponential working-model Maller-Zhou boundary test is positive, but remains contextual only.",0.14741319774388273,0.202,FALSE,legacy_stage6_centered_bootstrap,Legacy Stage 6 Xie bootstrap output does not indicate a contradiction signal against sufficient follow-up.,primary_unsupportive,Main-model-family lognormal RECeUS screen is unsupportive; Xie and Maller-Zhou remain secondary/contextual.
merged,262,50,212,10.105407255304586,7.572895277207392,2.532511978097194,0.6493767062814392,0.3506232937185608,noncure,lognormal,362.91760414062895,10.105407255304586,0,NA,0.025,0.05,unsupportive,"Prespecified lognormal comparison selected the non-cure lognormal model, so the main-model-family RECeUS screen is unsupportive by construction.",exponential,10.613673432636233,5.612722895400368e-4,TRUE,"Exponential working-model Maller-Zhou boundary test is positive, but remains contextual only.",0.11318148945495082,0.266,FALSE,legacy_stage6_centered_bootstrap,Legacy Stage 6 Xie bootstrap output does not indicate a contradiction signal against sufficient follow-up.,primary_unsupportive,Main-model-family lognormal RECeUS screen is unsupportive; Xie and Maller-Zhou remain secondary/contextual.
