dataset,n_total,n_event,n_censor_main,tau_year,largest_event_time_year,plateau_length_year,km_tail_survival,km_tail_noncure
PNU,54,12,42,2.6694045174537986,1.3388090349075976,1.330595482546201,0.7011810830846984,0.2988189169153016
SNU,208,38,170,10.105407255304586,7.572895277207392,2.532511978097194,0.6735500327419994,0.3264499672580006
merged,262,50,212,10.105407255304586,7.572895277207392,2.532511978097194,0.6493767062814392,0.3506232937185608
