shard_id,rep_start,rep_end,n_rep,completed_reps,pending_reps,status,worker_session_id,claimed_at,updated_at,finished_at,has_state_file,has_manifest_file,has_done_flag,lock_active
31,601,620,20,20,0,done,20260324215526.877235_pid44700_YIDO,2026-03-25 02:16:55.344185,2026-03-25 04:23:05.058368,2026-03-25 04:23:05.055109,TRUE,TRUE,TRUE,FALSE
32,621,640,20,20,0,done,20260324215627.892282_pid38672_YIDO,2026-03-25 02:17:49.325154,2026-03-25 04:30:35.703901,2026-03-25 04:30:35.701648,TRUE,TRUE,TRUE,FALSE
33,641,660,20,20,0,done,20260324215020.572685_pid33628_YIDO,2026-03-25 02:18:59.944532,2026-03-25 04:24:41.786839,2026-03-25 04:24:41.784308,TRUE,TRUE,TRUE,FALSE
34,661,680,20,20,0,done,20260324215414.305715_pid13160_YIDO,2026-03-25 04:03:00.600905,2026-03-25 06:02:23.734099,2026-03-25 06:02:23.731852,TRUE,TRUE,TRUE,FALSE
35,681,700,20,20,0,done,20260324214848.968822_pid25948_YIDO,2026-03-25 04:10:33.707866,2026-03-25 06:20:17.475641,2026-03-25 06:20:17.472861,TRUE,TRUE,TRUE,FALSE
36,701,720,20,20,0,done,20260324215010.438985_pid27500_YIDO,2026-03-25 04:18:22.433238,2026-03-25 06:18:48.989533,2026-03-25 06:18:48.987622,TRUE,TRUE,TRUE,FALSE
37,721,740,20,20,0,done,20260324215016.067435_pid39844_YIDO,2026-03-25 04:18:36.508414,2026-03-25 06:14:52.097414,2026-03-25 06:14:52.095037,TRUE,TRUE,TRUE,FALSE
38,741,760,20,20,0,done,20260324215526.877235_pid44700_YIDO,2026-03-25 04:23:27.493416,2026-03-25 06:17:32.925233,2026-03-25 06:17:32.923616,TRUE,TRUE,TRUE,FALSE
39,761,780,20,20,0,done,20260324215020.572685_pid33628_YIDO,2026-03-25 04:25:04.193658,2026-03-25 06:22:51.694403,2026-03-25 06:22:51.692213,TRUE,TRUE,TRUE,FALSE
40,781,800,20,20,0,done,20260324214843.503909_pid43248_YIDO,2026-03-25 04:26:45.535978,2026-03-25 06:33:38.641657,2026-03-25 06:33:38.639225,TRUE,TRUE,TRUE,FALSE
41,801,820,20,20,0,done,20260324215627.892282_pid38672_YIDO,2026-03-25 04:30:58.17174,2026-03-25 06:34:32.868287,2026-03-25 06:34:32.867065,TRUE,TRUE,TRUE,FALSE
42,821,840,20,20,0,done,20260324215620.246782_pid25452_YIDO,2026-03-25 04:32:06.901459,2026-03-25 06:30:21.160316,2026-03-25 06:30:21.15878,TRUE,TRUE,TRUE,FALSE
43,841,860,20,20,0,done,20260324214852.606131_pid37468_YIDO,2026-03-25 04:32:56.102818,2026-03-25 06:31:57.633151,2026-03-25 06:31:57.630645,TRUE,TRUE,TRUE,FALSE
44,861,880,20,20,0,done,20260324214857.807724_pid26448_YIDO,2026-03-25 04:37:39.147091,2026-03-25 06:34:45.716333,2026-03-25 06:34:45.714858,TRUE,TRUE,TRUE,FALSE
45,881,900,20,20,0,done,20260324215414.305715_pid13160_YIDO,2026-03-25 06:02:51.10363,2026-03-25 07:39:46.797801,2026-03-25 07:39:46.796051,TRUE,TRUE,TRUE,FALSE
46,901,920,20,20,0,done,20260324215016.067435_pid39844_YIDO,2026-03-25 06:15:19.351148,2026-03-25 07:52:02.11334,2026-03-25 07:52:02.111842,TRUE,TRUE,TRUE,FALSE
47,921,940,20,20,0,done,20260324215526.877235_pid44700_YIDO,2026-03-25 06:18:01.185329,2026-03-25 07:58:13.536322,2026-03-25 07:58:13.535239,TRUE,TRUE,TRUE,FALSE
48,941,960,20,20,0,done,20260324215010.438985_pid27500_YIDO,2026-03-25 06:19:17.277503,2026-03-25 07:58:03.421376,2026-03-25 07:58:03.419631,TRUE,TRUE,TRUE,FALSE
49,961,980,20,20,0,done,20260324214848.968822_pid25948_YIDO,2026-03-25 06:20:44.911505,2026-03-25 07:52:55.686574,2026-03-25 07:52:55.685393,TRUE,TRUE,TRUE,FALSE
50,981,1000,20,20,0,done,20260324215020.572685_pid33628_YIDO,2026-03-25 06:23:18.889763,2026-03-25 08:05:13.150104,2026-03-25 08:05:13.149059,TRUE,TRUE,TRUE,FALSE
