dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,component,term,estimate,boot_n_success_estimate,boot_success_rate_estimate,estimate_ci_lower,estimate_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,incidence_uncured_logit,age_s,1.1973878371307074,1000,1,-18.00415420105092,166.24913866972244,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,incidence_uncured_logit,sex_num,-0.6412088941747491,1000,1,-128.10743490042356,27.47210980324111,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,latency,(Intercept),-0.3769792297348022,1000,1,-2.6565528770722686,1.8663525773777585,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,latency,age_s,0.6697076483528336,1000,1,-3.4463693058915448,4.971863962930958,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,latency,sex_num,0.451216372644216,1000,1,-3.018548458055927,5.23520897532087,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,(Intercept),-0.15671307683672847,1000,1,-3.9954053154298506,103.54631204837912,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,age_s,1.2214559851564708,1000,1,-29.59273924256473,53.2105800879652,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,incidence_uncured_logit,sex_num,-0.6591236658616798,1000,1,-52.22265464178496,38.74931786682446,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,latency,(Intercept),-0.27614842197885475,1000,1,-2.5603668277913183,1.943933602274424,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,latency,age_s,0.6990730892932419,1000,1,-3.233899419831055,4.438863861020166,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
