dataset,formula_variant,site_branch,interaction_branch,model_id,matched_nocure_model_id,horizon_year,n_subject,mean_delta_risk_nc_minus_cure,median_delta_risk_nc_minus_cure,q25_delta_risk_nc_minus_cure,q75_delta_risk_nc_minus_cure,horizon_support,boot_n_success_delta,boot_success_rate_delta,mean_delta_risk_ci_lower,mean_delta_risk_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,5,54,0.2995049855062739,0.2855464414910948,0.23752378043929195,0.36972615972612166,secondary,1000,1,0.01277681612069634,0.4001909960800849,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,6,54,0.3557060661225954,0.34685640740281304,0.29707404240262664,0.42484512348184456,projection,1000,1,0.02855629773796161,0.4539198815801267,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,7,54,0.40145741215269326,0.4008653031546489,0.34909591820639324,0.46496930527133706,projection,1000,1,0.04044803878655369,0.4955406330356341,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,8,54,0.438782904405578,0.4437700160016321,0.3941692607334713,0.49413124557124666,projection,1000,1,0.05064610464363335,0.5297010558921117,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,9,54,0.46936292628245374,0.4863377941387421,0.4212782491082711,0.5153156408209258,projection,1000,1,0.06259924295227959,0.55734801209882745,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_exp,nocure_exp,10,54,0.49454024082815257,0.5208134284259718,0.4513937474254478,0.5401405312518863,projection,1000,1,0.06726753019277418,0.5809997461317729,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,1,54,-0.02229747664925785,-0.02425309095803318,-0.03874735163207293,-0.00405548264855751,primary_supported,1000,1,-0.04753826726368759,0.02690383730275259,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,2,54,0.01808348115177523,0.02329466711270195,-0.03065917371954793,0.05700071962334441,secondary,1000,1,-0.03450094798906979,0.06720737023052722,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,3,54,0.05889775152972144,0.065131943728584,0.0062453754707839,0.10623174726669762,secondary,1000,1,-0.02254530557112969,0.12209604990528902,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,4,54,0.09449688467260545,0.1074177673732798,0.02733095488268983,0.15067249045005576,secondary,1000,1,-0.01672865149239814,0.171713186767675,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,5,54,0.1250849826747618,0.14244630600821756,0.05100097709064882,0.18835411221401857,secondary,1000,1,-0.01467867437546578,0.21020592403400265,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,6,54,0.15151228087355623,0.17202568765429826,0.07546101867503091,0.2191342976678805,projection,1000,1,-0.01466280896664364,0.24445979929263623,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,7,54,0.17456197336260254,0.1968602019648229,0.09740165207305045,0.24487192766807916,projection,1000,1,-0.00992548089799308,0.2779131910126229,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,8,54,0.1948610440633513,0.21779613704786277,0.11647555144610314,0.2673051132950639,projection,1000,1,-0.0058734320145987,0.3039274060233514,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,9,54,0.21289771391113857,0.2358912603231207,0.13287661820897123,0.2881532147543534,projection,1000,1,-5.178268962357671e-4,0.32735125099878976,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_llogis,nocure_llogis,10,54,0.2290522624788204,0.25188871585070954,0.14747777451516136,0.30762910430587387,projection,1000,1,-2.486857576442329e-4,0.3476334821294542,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,1,54,-0.01860109778560562,-0.0179037277642009,-0.05515956807397876,0.00724712900379712,primary_supported,1000,1,-0.04389406313427131,0.02236347883792062,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,2,54,0.00810884122432845,0.01988554103787715,-0.04919911940717544,0.06294688573915122,secondary,1000,1,-0.03501780687781178,0.05704546461072371,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,3,54,0.0364923202598669,0.0554949525953578,-0.0355567487228208,0.10484443362459876,secondary,1000,1,-0.02706927990870249,0.10001694438234762,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,4,54,0.06214154313085988,0.0877300317535844,-0.01766100790820901,0.14096461950979816,secondary,1000,1,-0.02173490819186227,0.13762370199391288,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,5,54,0.08484655095965264,0.11516691866291941,-0.00168033294406921,0.17118871407844516,secondary,1000,1,-0.01580813161949199,0.17209475245380548,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,6,54,0.1049814229361843,0.1392130681048813,0.01442331373113267,0.19702318537478627,projection,1000,1,-0.0128041724989803,0.19745487216965948,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,7,54,0.12295723963267136,0.16051389747579176,0.03097468945734263,0.21949334846735524,projection,1000,1,-0.00621635106119982,0.22193973382007604,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,8,54,0.13912611866699118,0.17957067757333134,0.04607149695777782,0.2393146021837075,projection,1000,1,-0.00326706181001512,0.24366124476814136,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,9,54,0.15377372422176608,0.1967690582264598,0.05987013652583869,0.2570018074087116,projection,1000,1,-0.00214719916733459,0.2641553354282441,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
