dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,matched_nocure_model_id,expected_reps,n_rep_observed,n_rep_fit_success,n_rep_prediction_success,n_rep_overall_success,n_rep_fit_failed,n_rep_prediction_failed,n_rep_warning,n_rep_nonzero_convergence,fit_success_rate,prediction_success_rate,overall_success_rate,ci_min_success_required,ci_eligible,qc_flag,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
SNU,base,site_free,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,4,4,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,40,40,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,40,40,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,3,3,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,benchmark,benchmark,benchmark,benchmark_km,km_benchmark,benchmark,km,benchmark,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1000,1000,975,975,975,25,0,3,0,0.975,0.975,0.975,800,TRUE,usable_for_ci,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,21,21,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,86,86,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,147,147,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,31,31,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,1,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,8,8,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,12,12,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,5,5,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_siteadjusted,site_adjusted,no_age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,nocure_exp,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,nocure_llogis,1000,1000,1000,1000,1000,0,0,9,9,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,nocure_lnorm,1000,1000,1000,1000,1000,0,0,14,14,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,nocure_weibull,1000,1000,1000,1000,1000,0,0,3,3,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,base_sitefree,site_free,no_age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
merged,benchmark,benchmark,benchmark,benchmark_km,km_benchmark,benchmark,km,benchmark,NA,1000,1000,1000,1000,1000,0,0,0,0,1,1,1,800,TRUE,stable,merged__site_free,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
