dataset,n,n_transition,n_right_censor,n_remission,person_time_year,followup_year_median,followup_year_max,mean_age_exact_entry,proportion_male,n_sites
PNU,54,12,29,13,54.71321013004791,1.111567419575633,2.6694045174537986,24.86938795596255,0.5185185185185185,1
SNU,208,38,170,0,735.7891854893908,3.798767967145791,10.105407255304586,21.210652210840287,0.6826923076923077,1
merged,262,50,199,13,790.5023956194387,2.0739219712525667,10.105407255304586,21.964742784262434,0.648854961832061,2
