dataset,model_id,site_adjustment_flag,risk_scale,horizon_year,susceptible_fraction,overall_survival_prob,overall_risk_prob,susceptible_only_survival_prob,susceptible_only_risk_prob,n_subjects
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,1,0.5196324916222518,0.7857042490253191,0.21429575097468084,0.5296737631823863,0.47032623681761365,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,2,0.5196324916222518,0.7206472139985991,0.27935278600140095,0.40251459654617505,0.597485403453825,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,3,0.5196324916222518,0.6840872315093934,0.31591276849060657,0.33426632856067345,0.6657336714393266,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,4,0.5196324916222518,0.6595983026297944,0.3404016973702057,0.2898343880439266,0.7101656119560734,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,5,0.5196324916222518,0.641655288660714,0.3583447113392861,0.25793339688914496,0.742066603110855,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,6,0.5196324916222518,0.6277591981618929,0.37224080183810715,0.2336101417845139,0.7663898582154861,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,7,0.5196324916222518,0.6165811086849675,0.38341889131503254,0.21428913489764684,0.7857108651023531,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,8,0.5196324916222518,0.607336587148574,0.3926634128514261,0.19847699305821778,0.8015230069417822,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,9,0.5196324916222518,0.5995272721540769,0.40047272784592314,0.1852387818315394,0.8147612181684606,54
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,10,0.5196324916222518,0.5928186928849113,0.40718130711508865,0.17395477482579366,0.8260452251742063,54
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,1,0.7281026677161919,0.9117702677202407,0.08822973227975929,0.8684593494204829,0.1315406505795171,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,2,0.7281026677161919,0.8624798413273302,0.1375201586726698,0.7962970903670863,0.20370290963291365,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,3,0.7281026677161919,0.827079138397871,0.17292086160212902,0.7450636712469009,0.2549363287530991,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,4,0.7281026677161919,0.7992681091409176,0.2007318908590824,0.7051393556025293,0.29486064439747073,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,5,0.7281026677161919,0.776333482314218,0.22366651768578205,0.6724216548187026,0.32757834518129736,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,6,0.7281026677161919,0.7568240864506877,0.24317591354931237,0.644732938864416,0.35526706113558404,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,7,0.7281026677161919,0.7398629862332143,0.2601370137667856,0.6207653825204013,0.37923461747959875,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,8,0.7281026677161919,0.7248761395981931,0.27512386040180686,0.5996673460379613,0.4003326539620387,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,9,0.7281026677161919,0.7114657621195812,0.2885342378804188,0.5808513517123977,0.41914864828760234,208
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,transition_only_main,10,0.7281026677161919,0.6993441493794461,0.30065585062055383,0.5638941936944103,0.43610580630558976,208
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,1,0.7444521530726816,0.8880839924174004,0.11191600758259963,0.840114306609859,0.15988569339014108,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,2,0.7444521530726816,0.8344770456100638,0.16552295438993628,0.764597415356911,0.23540258464308902,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,3,0.7444521530726816,0.7973828009199635,0.20261719908003648,0.7127904280399564,0.28720957196004365,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,4,0.7444521530726816,0.768831400232805,0.231168599767195,0.673156284938962,0.3268437150610381,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,5,0.7444521530726816,0.745601101545163,0.254398898454837,0.6410611105881161,0.35893888941188395,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,6,0.7444521530726816,0.7260309587368841,0.2739690412631159,0.6141279268567678,0.38587207314323224,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,7,0.7444521530726816,0.7091422892225064,0.29085771077749356,0.5909619488037428,0.4090380511962572,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,8,0.7444521530726816,0.6943064006033527,0.30569359939664725,0.5706703618856228,0.4293296381143772,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,9,0.7444521530726816,0.6810940314807042,0.3189059685192957,0.5526454575185621,0.4473545424814379,262
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,transition_only_main,10,0.7444521530726816,0.66919841825553394,0.3308015817444661,0.5364541475050908,0.4635458524949092,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,1,0.8025156481399068,0.8868677384650397,0.1131322615349602,0.8519069694187485,0.14809303058125142,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,2,0.8025156481399068,0.8305619387993158,0.1694380612006842,0.7791278359331003,0.22087216406689972,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,3,0.8025156481399068,0.7910895791478179,0.20891042085218212,0.7284518771014935,0.27154812289850655,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,4,0.8025156481399068,0.7604621323586124,0.2395378676413876,0.6893178974090918,0.3106821025909082,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,5,0.8025156481399068,0.7353994677931455,0.26460053220685453,0.6574123132964914,0.34258768670350853,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,6,0.8025156481399068,0.7141929245974936,0.2858070754025063,0.6304972803737287,0.36950271962627135,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,7,0.8025156481399068,0.695827838266006,0.304172161733994,0.6072483406554449,0.3927516593445552,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,8,0.8025156481399068,0.6796483374584223,0.32035166254157765,0.5868118231005196,0.4131881768994804,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,9,0.8025156481399068,0.6652042885900615,0.33479571140993847,0.5686033054988207,0.43139669450117935,262
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,transition_only_main,10,0.8025156481399068,0.6521725975151406,0.3478274024848595,0.5522042365767084,0.44779576342329164,262
