dataset,model_id,site_adjustment_flag,parameter,mean,sd,q025,q50,q975,n_eff,rhat
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,alpha_inc,-0.9564824176956697,1.074465491936277,-2.4857367094609097,-1.1611675750888324,1.7907735079323948,1780.3006119015668,1.0019534164009674
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[1],0.4072090859517507,0.13349742359770816,0.14900626656335336,0.4085332209410838,0.6620465138259469,5293.419969165897,0.9996583487027051
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[2],0.922371758200512,0.17175048817417313,0.586916191851459,0.9241292405786048,1.2560668188189348,6014.6369724129145,0.9993401991958702
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[3],0.6168266680705062,0.18613293531562075,0.2596593373948004,0.6233684908181012,0.9741782511798411,5001.60942239715,1.0000429711870755
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[4],0.3876691252686207,0.2790505399105076,-0.16321672857652839,0.38834077007629625,0.9308986032675675,4493.910541599319,0.9999606179280571
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[5],0.08379817952495501,0.29206972965213474,-0.48185340292825424,0.08266992170625245,0.6474058365778681,5018.987456376031,0.9993509524494916
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,gamma0,-0.11251799318347032,0.9580090901593209,-1.7095706500971328,-0.19451909239084475,1.943874965568803,1942.186673761022,1.0017511417243412
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,gamma_lat[1],0.37834909682733364,0.6711885628423059,-0.9919112986485825,0.40181410261828976,1.6155153291533597,3865.365928521748,1.000084166575742
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,gamma_lat[2],0.6635624549915828,0.6817475447567037,-0.6777395659436672,0.6704969811755217,2.000852572727233,4926.958633482744,0.9996972209144928
PNU,PNU-L0-LN-ANCH-NOSITE,FALSE,log_sigma,0.6042771591339575,0.2529944942563592,0.1112749979345677,0.6042150387974357,1.1176809592142698,2114.033521139444,1.001190014405555
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,alpha_inc,0.616958602879355,1.2350415791401967,-1.187904004016504,0.43737972463207375,3.654823357255408,1925.9049651073306,0.999543809436966
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[1],0.4294354548893593,0.13074662585863844,0.1768715144650668,0.42976440701212004,0.6864085717089089,4736.632952353847,1.0000077097235143
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[2],0.8709356956085883,0.1817871088549442,0.5125959850618309,0.8730118275514238,1.2194355619918191,4073.0917703230393,0.9994952385472553
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[3],0.6003148199646902,0.18842708629142865,0.23143843669944558,0.6030216789949687,0.9791585540719919,4930.26973275713,0.9997326239864048
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[4],0.40160076682190976,0.28057788906670483,-0.15822457045941676,0.39965522023214817,0.9532999776101616,4447.86247195245,0.9996226095832917
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,beta_inc[5],0.07816525331679393,0.30197281386459046,-0.5136413290296422,0.08534427055378388,0.665550893836913,4268.996573604854,0.9995574198269276
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,gamma0,2.6117536667319308,0.8023318397781104,0.9200440223106081,2.667910612292504,4.050410767535882,2017.8118891209701,0.999406968974342
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,gamma_lat[1],0.07518231800074766,0.4775974993998758,-0.8371117501651186,0.0694461794938658,1.0499475650043408,4308.187577064561,0.9996221074634863
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,gamma_lat[2],0.24303945251539646,0.5247831705115779,-0.7832166780524573,0.22942263223442452,1.283764442882179,3234.2832936492896,0.9994004869380287
SNU,SNU-L0-LN-ANCH-NOSITE,FALSE,log_sigma,0.8497558000120521,0.13976299718486848,0.5663848534823105,0.8502008346884563,1.122532145953264,2673.427042892962,0.9993790678608176
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,alpha_inc,0.4644807975667818,1.0605219158955326,-1.1186077093130102,0.30240419339299873,2.8910036907720595,1332.4510438106972,1.001831715511625
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,beta_inc[1],0.43006715882319185,0.13267233719398727,0.17346395540746629,0.4281618336726522,0.6924115455625169,4187.346901522211,0.9997282557633301
