dataset_key,source_dataset,analysis_variant,n_total,n_event,n_censor_main,n_right_censor,n_remission,censor_rate_main,person_time_year,tau_year,largest_event_time_year,plateau_length_year,n_censored_after_last_event,km_tail_survival,km_tail_noncure,mz_interval_lower_year,mz_interval_event_count,mz_alpha_n,mz_q_n,xie_epsilon,xie_p_hat_n,xie_p_hat_G,xie_T_n,xie_degenerate_flag,summary_note
PNU,PNU,single_cohort,54,12,42,29,13,0.7777777777777778,54.713210130047905,2.6694045174538,1.3388090349076,1.3305954825461999,20,0.7011810830846984,0.2988189169153016,0.0082135523614002,12,1.2770227994358211e-6,0.2222222222222222,2.668377823408625,0.2988189169153016,0.30419335037566875,0.005374433460367145,FALSE,NA
SNU,SNU,single_cohort,208,38,170,170,0,0.8173076923076923,735.7891854893908,10.1054072553046,7.57289527720739,2.53251197809721,17,0.6735500327419994,0.3264499672580006,5.0403832991101805,3,0.0487112671622437,0.014423076923076924,9.475359342915826,0.3264499672580006,0.4738631650018833,0.14741319774388273,FALSE,NA
merged__site_free,merged,site_free,262,50,212,199,13,0.8091603053435115,790.5023956194387,10.1054072553046,7.57289527720739,2.53251197809721,17,0.6493767062814392,0.3506232937185608,5.0403832991101805,3,0.04893277703013257,0.011450381679389313,9.475359342915826,0.3506232937185608,0.46380478317351165,0.11318148945495082,FALSE,NA
merged__site_adjusted,merged,site_adjusted,262,50,212,199,13,0.8091603053435115,790.5023956194387,10.1054072553046,7.57289527720739,2.53251197809721,17,0.6493767062814392,0.3506232937185608,5.0403832991101805,3,0.04893277703013257,0.011450381679389313,9.475359342915826,0.3506232937185608,0.46380478317351165,0.11318148945495082,FALSE,"Raw follow-up, Maller-Zhou, Xie, and RECeUS tail metrics are inherited from the merged site-free data because the underlying merged cohort is unchanged; only the HSU working-model branch is rerun with site adjustment."
