dataset_key,source_dataset,analysis_variant,family,converged,loglik,aic,cure_fraction_hat,susceptible_survival_tau,overall_survival_tau,receus_ratio_hat,tau_year,receus_flag,selected_by_aic,note
PNU,PNU,single_cohort,exponential,TRUE,-29.38702151366614,62.77404302733228,0.6347481294682178,0.08062153220374521,0.664195294910774,0.12138226937391308,2.6694045174538,unsupportive,TRUE,NA
PNU,PNU,single_cohort,weibull,TRUE,-28.90592205048476,63.81184410096952,0.3767622556088728,0.4256435230724335,0.642039364843229,0.6629554921081291,2.6694045174538,unsupportive,FALSE,NA
PNU,PNU,single_cohort,gamma,TRUE,-28.93735355348302,63.87470710696604,0.44618672871888565,0.35008076209693395,0.6400661007883742,0.5469447009703168,2.6694045174538,unsupportive,FALSE,NA
PNU,PNU,single_cohort,loglogistic,TRUE,-28.892664519621672,63.785329039243344,0.08907200071878675,0.6093033908709825,0.6441035195201499,0.945971217988231,2.6694045174538,unsupportive,FALSE,NA
SNU,SNU,single_cohort,exponential,TRUE,-148.4848037172785,300.969607434557,0.6696118488908929,0.09164122108852144,0.6998890224917104,0.1309367887529724,10.1054072553046,unsupportive,FALSE,NA
SNU,SNU,single_cohort,weibull,TRUE,-147.40676916754322,300.81353833508643,0.4362173368436706,0.42472102706159376,0.6756676885789474,0.628594550606467,10.1054072553046,unsupportive,FALSE,NA
SNU,SNU,single_cohort,gamma,TRUE,-147.468040057236,300.936080114472,0.4994409459896075,0.35014660299228917,0.6747099983483802,0.5189586694274749,10.1054072553046,unsupportive,FALSE,NA
SNU,SNU,single_cohort,loglogistic,TRUE,-147.36787448845584,300.7357489769117,0.18616653440552983,0.6044099991926294,0.6780556186884183,0.8913870522329073,10.1054072553046,unsupportive,TRUE,NA
merged__site_free,merged,site_free,exponential,TRUE,-182.72544737010472,369.45089474020943,0.6775232333952114,0.03345119023253764,0.6883104650604818,0.04859898538604711,10.1054072553046,supportive,FALSE,NA
merged__site_free,merged,site_free,weibull,TRUE,-180.15705531954532,366.31411063909064,0.5258539197281177,0.283370340863048,0.6602128561136391,0.4292105769207755,10.1054072553046,unsupportive,FALSE,NA
merged__site_free,merged,site_free,gamma,TRUE,-180.3210982118293,366.6421964236586,0.5726359679888383,0.2040414390019916,0.659835940058089,0.3092305626517233,10.1054072553046,unsupportive,FALSE,NA
merged__site_free,merged,site_free,loglogistic,TRUE,-180.05026449717897,366.10052899435794,0.34671035178905374,0.48323834913423314,0.6624049628969954,0.7295210274705886,10.1054072553046,unsupportive,TRUE,NA
merged__site_adjusted,merged,site_adjusted,exponential,TRUE,-182.72544737010472,369.45089474020943,0.6775232333952114,0.03345119023253764,0.6883104650604818,0.04859898538604711,10.1054072553046,supportive,FALSE,Candidate RECeUS fits inherited from merged site-free because RECeUS is evaluated on the same merged raw tail.
merged__site_adjusted,merged,site_adjusted,weibull,TRUE,-180.15705531954532,366.31411063909064,0.5258539197281177,0.283370340863048,0.6602128561136391,0.4292105769207755,10.1054072553046,unsupportive,FALSE,Candidate RECeUS fits inherited from merged site-free because RECeUS is evaluated on the same merged raw tail.
merged__site_adjusted,merged,site_adjusted,gamma,TRUE,-180.3210982118293,366.6421964236586,0.5726359679888383,0.2040414390019916,0.659835940058089,0.3092305626517233,10.1054072553046,unsupportive,FALSE,Candidate RECeUS fits inherited from merged site-free because RECeUS is evaluated on the same merged raw tail.
merged__site_adjusted,merged,site_adjusted,loglogistic,TRUE,-180.05026449717897,366.10052899435794,0.34671035178905374,0.48323834913423314,0.6624049628969954,0.7295210274705886,10.1054072553046,unsupportive,TRUE,Candidate RECeUS fits inherited from merged site-free because RECeUS is evaluated on the same merged raw tail.
