file_name,object_name,description,file_path
stage6_variant_registry.csv,variant_registry,Stage 6 structural variant registry keyed by dataset_key,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_variant_registry.csv
stage6_metadata_registry.csv,stage6_metadata_registry,Stage 6 metadata and carry-forward rules,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_metadata_registry.csv
stage6_followup_sufficiency_summary.csv,followup_sufficiency_summary,Dataset-level follow-up sufficiency summary including extreme-tail quantities,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_followup_sufficiency_summary.csv
stage6_screening_method_results.csv,screening_method_results,Long-format Stage 6 screening method results,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_screening_method_results.csv
stage6_receus_candidate_fits.csv,receus_candidate_fits,RECeUS and RECeUS-AIC candidate-family fit summary table,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_receus_candidate_fits.csv
stage6_screening_summary.csv,screening_summary,Wide Stage 6 screening summary by dataset_key,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_screening_summary.csv
stage6_carry_forward_flag_table.csv,carry_forward_flag_table,Dataset-key-based carry-forward flag table for later stages,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_carry_forward_flag_table.csv
stage6_screening_bundle.rds,screening_bundle,Reusable Stage 6 bundle with summary tables and inherited backbone settings,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_screening_bundle.rds
stage6_fitted_objects.rds,fit_objects,Compact Stage 6 fitted objects and bootstrap distributions,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_fitted_objects.rds
stage6_followup_sufficiency_summary.png,followup_plot,Visualization exported from stage6_followup_sufficiency_summary.csv,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_followup_sufficiency_summary.png
stage6_screening_method_results.png,screening_method_plot,Visualization exported from stage6_screening_method_results.csv,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_screening_method_results.png
stage6_receus_candidate_fits.png,receus_plot,Visualization exported from stage6_receus_candidate_fits.csv,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_receus_candidate_fits.png
stage6_carry_forward_flag_table.png,carry_forward_plot,Visualization exported from stage6_carry_forward_flag_table.csv,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_carry_forward_flag_table.png
stage6_followup_sufficiency_summary_checkpoint.csv,followup_checkpoint,Checkpoint CSV for follow-up sufficiency summary,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_followup_sufficiency_summary_checkpoint.csv
stage6_screening_method_results_checkpoint.csv,method_checkpoint,Checkpoint CSV for screening method results,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_screening_method_results_checkpoint.csv
stage6_receus_candidate_fits_checkpoint.csv,receus_checkpoint,Checkpoint CSV for RECeUS candidate-family fits,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_receus_candidate_fits_checkpoint.csv
stage6_checkpoint_status.csv,checkpoint_status,Checkpoint status table,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_checkpoint_status.csv
stage6_export_manifest.csv,stage6_export_manifest,Manifest of all Stage 6 exported files,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_export_manifest.csv
stage6_progress_log.txt,progress_log,Console and file progress log written during the run,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_progress_log.txt
stage6_runtime_status.csv,runtime_status,Runtime status log written during the run,C:/Users/clair/Dropbox/Data Analysis/STAGE6/stage6_runtime_status.csv
