timestamp,stage,dataset_key,note,run_mode,bootstrap_reps_xie,bootstrap_reps_hsu,optim_maxit,parallel_cores
2026-03-24 13:43:06.646606,bootstrap_running,NA,XIE[SNU] chunk 15 of 50,full,499,199,5000,4
2026-03-24 13:43:06.683829,bootstrap_running,NA,XIE[SNU] chunk 16 of 50,full,499,199,5000,4
2026-03-24 13:43:06.723551,bootstrap_running,NA,XIE[SNU] chunk 17 of 50,full,499,199,5000,4
2026-03-24 13:43:06.761986,bootstrap_running,NA,XIE[SNU] chunk 18 of 50,full,499,199,5000,4
2026-03-24 13:43:06.799494,bootstrap_running,NA,XIE[SNU] chunk 19 of 50,full,499,199,5000,4
2026-03-24 13:43:06.83653,bootstrap_running,NA,XIE[SNU] chunk 20 of 50,full,499,199,5000,4
2026-03-24 13:43:06.871513,bootstrap_running,NA,XIE[SNU] chunk 21 of 50,full,499,199,5000,4
2026-03-24 13:43:06.911151,bootstrap_running,NA,XIE[SNU] chunk 22 of 50,full,499,199,5000,4
2026-03-24 13:43:06.950661,bootstrap_running,NA,XIE[SNU] chunk 23 of 50,full,499,199,5000,4
2026-03-24 13:43:06.986549,bootstrap_running,NA,XIE[SNU] chunk 24 of 50,full,499,199,5000,4
2026-03-24 13:43:07.025451,bootstrap_running,NA,XIE[SNU] chunk 25 of 50,full,499,199,5000,4
2026-03-24 13:43:07.075193,bootstrap_running,NA,XIE[SNU] chunk 26 of 50,full,499,199,5000,4
2026-03-24 13:43:07.111792,bootstrap_running,NA,XIE[SNU] chunk 27 of 50,full,499,199,5000,4
2026-03-24 13:43:07.147278,bootstrap_running,NA,XIE[SNU] chunk 28 of 50,full,499,199,5000,4
2026-03-24 13:43:07.187192,bootstrap_running,NA,XIE[SNU] chunk 29 of 50,full,499,199,5000,4
2026-03-24 13:43:07.219311,bootstrap_running,NA,XIE[SNU] chunk 30 of 50,full,499,199,5000,4
2026-03-24 13:43:07.254625,bootstrap_running,NA,XIE[SNU] chunk 31 of 50,full,499,199,5000,4
2026-03-24 13:43:07.282414,bootstrap_running,NA,XIE[SNU] chunk 32 of 50,full,499,199,5000,4
2026-03-24 13:43:07.309565,bootstrap_running,NA,XIE[SNU] chunk 33 of 50,full,499,199,5000,4
2026-03-24 13:43:07.33844,bootstrap_running,NA,XIE[SNU] chunk 34 of 50,full,499,199,5000,4
2026-03-24 13:43:07.37253,bootstrap_running,NA,XIE[SNU] chunk 35 of 50,full,499,199,5000,4
2026-03-24 13:43:07.405735,bootstrap_running,NA,XIE[SNU] chunk 36 of 50,full,499,199,5000,4
2026-03-24 13:43:07.443358,bootstrap_running,NA,XIE[SNU] chunk 37 of 50,full,499,199,5000,4
2026-03-24 13:43:07.484592,bootstrap_running,NA,XIE[SNU] chunk 38 of 50,full,499,199,5000,4
2026-03-24 13:43:07.52807,bootstrap_running,NA,XIE[SNU] chunk 39 of 50,full,499,199,5000,4
2026-03-24 13:43:07.567674,bootstrap_running,NA,XIE[SNU] chunk 40 of 50,full,499,199,5000,4
2026-03-24 13:43:07.607753,bootstrap_running,NA,XIE[SNU] chunk 41 of 50,full,499,199,5000,4
2026-03-24 13:43:07.657137,bootstrap_running,NA,XIE[SNU] chunk 42 of 50,full,499,199,5000,4
2026-03-24 13:43:07.699181,bootstrap_running,NA,XIE[SNU] chunk 43 of 50,full,499,199,5000,4
2026-03-24 13:43:07.749173,bootstrap_running,NA,XIE[SNU] chunk 44 of 50,full,499,199,5000,4
2026-03-24 13:43:07.786216,bootstrap_running,NA,XIE[SNU] chunk 45 of 50,full,499,199,5000,4
2026-03-24 13:43:07.820454,bootstrap_running,NA,XIE[SNU] chunk 46 of 50,full,499,199,5000,4
2026-03-24 13:43:07.857476,bootstrap_running,NA,XIE[SNU] chunk 47 of 50,full,499,199,5000,4
2026-03-24 13:43:07.89655,bootstrap_running,NA,XIE[SNU] chunk 48 of 50,full,499,199,5000,4
2026-03-24 13:43:07.936258,bootstrap_running,NA,XIE[SNU] chunk 49 of 50,full,499,199,5000,4
2026-03-24 13:43:07.973717,bootstrap_running,NA,XIE[SNU] chunk 50 of 50,full,499,199,5000,4
2026-03-24 13:47:47.456764,bootstrap_running,NA,HSU[SNU] chunk 1 of 20,full,499,199,5000,4
2026-03-24 13:51:16.041076,bootstrap_running,NA,HSU[SNU] chunk 2 of 20,full,499,199,5000,4
2026-03-24 13:57:57.070752,bootstrap_running,NA,HSU[SNU] chunk 3 of 20,full,499,199,5000,4
2026-03-24 14:00:08.055242,bootstrap_running,NA,HSU[SNU] chunk 4 of 20,full,499,199,5000,4
2026-03-24 14:04:51.262077,bootstrap_running,NA,HSU[SNU] chunk 5 of 20,full,499,199,5000,4
2026-03-24 14:07:46.823279,bootstrap_running,NA,HSU[SNU] chunk 6 of 20,full,499,199,5000,4
2026-03-24 14:10:39.462456,bootstrap_running,NA,HSU[SNU] chunk 7 of 20,full,499,199,5000,4
2026-03-24 14:12:53.163324,bootstrap_running,NA,HSU[SNU] chunk 8 of 20,full,499,199,5000,4
2026-03-24 14:15:30.772262,bootstrap_running,NA,HSU[SNU] chunk 9 of 20,full,499,199,5000,4
2026-03-24 14:18:26.09147,bootstrap_running,NA,HSU[SNU] chunk 10 of 20,full,499,199,5000,4
2026-03-24 14:21:46.579761,bootstrap_running,NA,HSU[SNU] chunk 11 of 20,full,499,199,5000,4
2026-03-24 14:24:54.801827,bootstrap_running,NA,HSU[SNU] chunk 12 of 20,full,499,199,5000,4
2026-03-24 14:26:45.723664,bootstrap_running,NA,HSU[SNU] chunk 13 of 20,full,499,199,5000,4
2026-03-24 14:30:02.050247,bootstrap_running,NA,HSU[SNU] chunk 14 of 20,full,499,199,5000,4
2026-03-24 14:31:44.078166,bootstrap_running,NA,HSU[SNU] chunk 15 of 20,full,499,199,5000,4
2026-03-24 14:36:35.302032,bootstrap_running,NA,HSU[SNU] chunk 16 of 20,full,499,199,5000,4
2026-03-24 14:39:23.35665,bootstrap_running,NA,HSU[SNU] chunk 17 of 20,full,499,199,5000,4
2026-03-24 14:42:31.155515,bootstrap_running,NA,HSU[SNU] chunk 18 of 20,full,499,199,5000,4
2026-03-24 14:44:37.998188,bootstrap_running,NA,HSU[SNU] chunk 19 of 20,full,499,199,5000,4
2026-03-24 14:47:57.970503,bootstrap_running,NA,HSU[SNU] chunk 20 of 20,full,499,199,5000,4
2026-03-24 14:47:58.070673,dataset_completed,SNU,Dataset-level screening completed.,full,499,199,5000,4
2026-03-24 14:47:58.078166,dataset_started,merged__site_free,Dataset-level screening started.,full,499,199,5000,4
2026-03-24 14:47:58.507238,bootstrap_running,NA,XIE[merged__site_free] chunk 1 of 50,full,499,199,5000,4
2026-03-24 14:47:58.531378,bootstrap_running,NA,XIE[merged__site_free] chunk 2 of 50,full,499,199,5000,4
2026-03-24 14:47:58.556504,bootstrap_running,NA,XIE[merged__site_free] chunk 3 of 50,full,499,199,5000,4
2026-03-24 14:47:58.578779,bootstrap_running,NA,XIE[merged__site_free] chunk 4 of 50,full,499,199,5000,4
2026-03-24 14:47:58.600743,bootstrap_running,NA,XIE[merged__site_free] chunk 5 of 50,full,499,199,5000,4
2026-03-24 14:47:58.623884,bootstrap_running,NA,XIE[merged__site_free] chunk 6 of 50,full,499,199,5000,4
2026-03-24 14:47:58.660425,bootstrap_running,NA,XIE[merged__site_free] chunk 7 of 50,full,499,199,5000,4
2026-03-24 14:47:58.684316,bootstrap_running,NA,XIE[merged__site_free] chunk 8 of 50,full,499,199,5000,4
2026-03-24 14:47:58.717129,bootstrap_running,NA,XIE[merged__site_free] chunk 9 of 50,full,499,199,5000,4
2026-03-24 14:47:58.739124,bootstrap_running,NA,XIE[merged__site_free] chunk 10 of 50,full,499,199,5000,4
2026-03-24 14:47:58.762311,bootstrap_running,NA,XIE[merged__site_free] chunk 11 of 50,full,499,199,5000,4
2026-03-24 14:47:58.785032,bootstrap_running,NA,XIE[merged__site_free] chunk 12 of 50,full,499,199,5000,4
2026-03-24 14:47:58.806368,bootstrap_running,NA,XIE[merged__site_free] chunk 13 of 50,full,499,199,5000,4
2026-03-24 14:47:58.829199,bootstrap_running,NA,XIE[merged__site_free] chunk 14 of 50,full,499,199,5000,4
2026-03-24 14:47:58.852,bootstrap_running,NA,XIE[merged__site_free] chunk 15 of 50,full,499,199,5000,4
2026-03-24 14:47:58.874318,bootstrap_running,NA,XIE[merged__site_free] chunk 16 of 50,full,499,199,5000,4
2026-03-24 14:47:58.897698,bootstrap_running,NA,XIE[merged__site_free] chunk 17 of 50,full,499,199,5000,4
2026-03-24 14:47:58.920515,bootstrap_running,NA,XIE[merged__site_free] chunk 18 of 50,full,499,199,5000,4
2026-03-24 14:47:58.942204,bootstrap_running,NA,XIE[merged__site_free] chunk 19 of 50,full,499,199,5000,4
2026-03-24 14:47:58.963528,bootstrap_running,NA,XIE[merged__site_free] chunk 20 of 50,full,499,199,5000,4
2026-03-24 14:47:58.987948,bootstrap_running,NA,XIE[merged__site_free] chunk 21 of 50,full,499,199,5000,4
2026-03-24 14:47:59.013547,bootstrap_running,NA,XIE[merged__site_free] chunk 22 of 50,full,499,199,5000,4
2026-03-24 14:47:59.03733,bootstrap_running,NA,XIE[merged__site_free] chunk 23 of 50,full,499,199,5000,4
2026-03-24 14:47:59.062254,bootstrap_running,NA,XIE[merged__site_free] chunk 24 of 50,full,499,199,5000,4
2026-03-24 14:47:59.099957,bootstrap_running,NA,XIE[merged__site_free] chunk 25 of 50,full,499,199,5000,4
2026-03-24 14:47:59.123221,bootstrap_running,NA,XIE[merged__site_free] chunk 26 of 50,full,499,199,5000,4
2026-03-24 14:47:59.147162,bootstrap_running,NA,XIE[merged__site_free] chunk 27 of 50,full,499,199,5000,4
2026-03-24 14:47:59.17917,bootstrap_running,NA,XIE[merged__site_free] chunk 28 of 50,full,499,199,5000,4
2026-03-24 14:47:59.202973,bootstrap_running,NA,XIE[merged__site_free] chunk 29 of 50,full,499,199,5000,4
2026-03-24 14:47:59.225849,bootstrap_running,NA,XIE[merged__site_free] chunk 30 of 50,full,499,199,5000,4
2026-03-24 14:47:59.251642,bootstrap_running,NA,XIE[merged__site_free] chunk 31 of 50,full,499,199,5000,4
2026-03-24 14:47:59.274612,bootstrap_running,NA,XIE[merged__site_free] chunk 32 of 50,full,499,199,5000,4
2026-03-24 14:47:59.29939,bootstrap_running,NA,XIE[merged__site_free] chunk 33 of 50,full,499,199,5000,4
2026-03-24 14:47:59.328026,bootstrap_running,NA,XIE[merged__site_free] chunk 34 of 50,full,499,199,5000,4
2026-03-24 14:47:59.353146,bootstrap_running,NA,XIE[merged__site_free] chunk 35 of 50,full,499,199,5000,4
2026-03-24 14:47:59.374914,bootstrap_running,NA,XIE[merged__site_free] chunk 36 of 50,full,499,199,5000,4
2026-03-24 14:47:59.396422,bootstrap_running,NA,XIE[merged__site_free] chunk 37 of 50,full,499,199,5000,4
2026-03-24 14:47:59.419458,bootstrap_running,NA,XIE[merged__site_free] chunk 38 of 50,full,499,199,5000,4
2026-03-24 14:47:59.443873,bootstrap_running,NA,XIE[merged__site_free] chunk 39 of 50,full,499,199,5000,4
2026-03-24 14:47:59.466309,bootstrap_running,NA,XIE[merged__site_free] chunk 40 of 50,full,499,199,5000,4
2026-03-24 14:47:59.488878,bootstrap_running,NA,XIE[merged__site_free] chunk 41 of 50,full,499,199,5000,4
2026-03-24 14:47:59.513348,bootstrap_running,NA,XIE[merged__site_free] chunk 42 of 50,full,499,199,5000,4
2026-03-24 14:47:59.547613,bootstrap_running,NA,XIE[merged__site_free] chunk 43 of 50,full,499,199,5000,4
2026-03-24 14:47:59.56861,bootstrap_running,NA,XIE[merged__site_free] chunk 44 of 50,full,499,199,5000,4
2026-03-24 14:47:59.590305,bootstrap_running,NA,XIE[merged__site_free] chunk 45 of 50,full,499,199,5000,4
2026-03-24 14:47:59.61497,bootstrap_running,NA,XIE[merged__site_free] chunk 46 of 50,full,499,199,5000,4
